"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YGR195W","SKI6","SKI6",8.71117524260737,8.11288138945071,29.428602048397,29.122849909704,28.9442489713881,29.530570143658,29.428602048397,29.122849909704,28.9442489713881,29.530570143658,4,NA,NA,NA,NA,20.9368834299273,20.5236380459212,20.3793184760534,20.3417301508156,0
"YGR095C","RRP46","RRP46",9.485582200552,8.03275302946052,30.4908500506497,29.8440537746192,29.9229486898689,30.0962241335041,30.4908500506497,29.8440537746192,29.9229486898689,30.0962241335041,4,NA,NA,NA,NA,20.9881737493457,20.6058986237953,20.2237937008069,20.593881772486,0
"YHR081W","LRP1","LRP1",8.19553759797141,7.86791218158902,29.1644691158667,28.7547447112787,28.7732901504526,28.8803446039268,29.1644691158667,28.7547447112787,28.7732901504526,28.8803446039268,4,NA,NA,NA,NA,21.07788968684,20.6034147921958,20.506764739003,20.6026289716004,0
"YNR024W","MPP6","MPP6",3.73023310895025,5.15575870948713,24.5698162147144,24.0135898386697,24.10948636152,24.8160688096181,24.5698162147144,24.0135898386697,24.10948636152,24.8160688096181,4,NA,NA,NA,NA,20.8752423948261,20.8183718721426,20.1715219045271,20.7228926172253,0
"YGR158C","MTR3","MTR3",8.01455676677305,4.67985894761996,28.5715965426104,28.496975343172,28.2509697361825,28.5673954997598,28.5715965426104,28.496975343172,28.2509697361825,28.5673954997598,4,NA,NA,NA,NA,20.8295565815283,20.9232771725191,19.8717491000759,20.2041272005092,0
"YNL232W","CSL4","CSL4",8.7002384172953,3.97721800708985,30.2873601160778,29.9072732635793,29.2787912871055,30.0169082386815,30.2873601160778,29.9072732635793,29.2787912871055,30.0169082386815,4,22.6879514244439,NA,NA,NA,22.6879514244439,21.0216405985137,20.4707646127922,20.5090226005132,1
"YDR280W","RRP45","RRP45",9.34830745872829,3.39104927754873,31.2232573023394,31.0254482503238,30.5013292603854,30.9354378013032,31.2232573023394,31.0254482503238,30.5013292603854,30.9354378013032,4,22.8278597960409,22.4903749701852,NA,NA,22.8278597960409,22.4903749701852,20.6610059538374,20.3130020593751,2
"YJL050W","MTR4","MTR4",2.04168244614652,3.34467726785018,25.711642399834,25.290035163763,25.4491277337082,25.0374142368153,25.711642399834,25.290035163763,25.4491277337082,25.0374142368153,4,23.229273570216,23.8930066873867,22.8448697032871,23.3543397886446,23.229273570216,23.8930066873867,22.8448697032871,23.3543397886446,4
"YMR128W","ECM16","ECM16",1.25685591671237,2.90464597132634,21.7952691932717,22.1345817400987,22.537868653011,21.9485640053094,21.7952691932717,22.1345817400987,22.537868653011,21.9485640053094,4,NA,NA,NA,NA,21.0956550954209,20.8471459124316,20.7923995226333,20.6536593943554,0
"YHR069C","RRP4","RRP4",7.73510767364673,2.75553764352104,30.4065926359461,29.8064423638179,29.2851785711643,29.9937496581734,30.4065926359461,29.8064423638179,29.2851785711643,29.9937496581734,4,24.3278650859931,22.6171275358605,NA,NA,24.3278650859931,22.6171275358605,20.9249604234324,20.6815794892288,2
