bait,prey,complex,n_complex
Smb1,Smd1,U5 snRNP complex,14
Smb1,Smd2,U5 snRNP complex,14
Smb1,Smd3,U5 snRNP complex,14
Smb1,Sme1,U5 snRNP complex,14
Smb1,Smx2,U5 snRNP complex,14
Smb1,Smx3,U5 snRNP complex,14
Smb1,Snu114,U5 snRNP complex,14
Smb1,Aar2,U5 snRNP complex,14
Smb1,Brr2,U5 snRNP complex,14
Smb1,Prp8,U5 snRNP complex,14
Smb1,Prp28,U5 snRNP complex,14
Smb1,Lin1,U5 snRNP complex,14
Smb1,Dib1,U5 snRNP complex,14
Smd1,Smb1,U5 snRNP complex,14
Smd1,Smd2,U5 snRNP complex,14
Smd1,Smd3,U5 snRNP complex,14
Smd1,Sme1,U5 snRNP complex,14
Smd1,Smx2,U5 snRNP complex,14
Smd1,Smx3,U5 snRNP complex,14
Smd1,Snu114,U5 snRNP complex,14
Smd1,Aar2,U5 snRNP complex,14
Smd1,Brr2,U5 snRNP complex,14
Smd1,Prp8,U5 snRNP complex,14
Smd1,Prp28,U5 snRNP complex,14
Smd1,Lin1,U5 snRNP complex,14
Smd1,Dib1,U5 snRNP complex,14
Smd2,Smb1,U5 snRNP complex,14
Smd2,Smd1,U5 snRNP complex,14
Smd2,Smd3,U5 snRNP complex,14
Smd2,Sme1,U5 snRNP complex,14
Smd2,Smx2,U5 snRNP complex,14
Smd2,Smx3,U5 snRNP complex,14
Smd2,Snu114,U5 snRNP complex,14
Smd2,Aar2,U5 snRNP complex,14
Smd2,Brr2,U5 snRNP complex,14
Smd2,Prp8,U5 snRNP complex,14
Smd2,Prp28,U5 snRNP complex,14
Smd2,Lin1,U5 snRNP complex,14
Smd2,Dib1,U5 snRNP complex,14
Smd3,Smb1,U5 snRNP complex,14
Smd3,Smd1,U5 snRNP complex,14
Smd3,Smd2,U5 snRNP complex,14
Smd3,Sme1,U5 snRNP complex,14
Smd3,Smx2,U5 snRNP complex,14
Smd3,Smx3,U5 snRNP complex,14
Smd3,Snu114,U5 snRNP complex,14
Smd3,Aar2,U5 snRNP complex,14
Smd3,Brr2,U5 snRNP complex,14
Smd3,Prp8,U5 snRNP complex,14
Smd3,Prp28,U5 snRNP complex,14
Smd3,Lin1,U5 snRNP complex,14
Smd3,Dib1,U5 snRNP complex,14
Sme1,Smb1,U5 snRNP complex,14
Sme1,Smd1,U5 snRNP complex,14
Sme1,Smd2,U5 snRNP complex,14
Sme1,Smd3,U5 snRNP complex,14
Sme1,Smx2,U5 snRNP complex,14
Sme1,Smx3,U5 snRNP complex,14
Sme1,Snu114,U5 snRNP complex,14
Sme1,Aar2,U5 snRNP complex,14
Sme1,Brr2,U5 snRNP complex,14
Sme1,Prp8,U5 snRNP complex,14
Sme1,Prp28,U5 snRNP complex,14
Sme1,Lin1,U5 snRNP complex,14
Sme1,Dib1,U5 snRNP complex,14
Smx2,Smb1,U5 snRNP complex,14
Smx2,Smd1,U5 snRNP complex,14
Smx2,Smd2,U5 snRNP complex,14
Smx2,Smd3,U5 snRNP complex,14
Smx2,Sme1,U5 snRNP complex,14
Smx2,Smx3,U5 snRNP complex,14
Smx2,Snu114,U5 snRNP complex,14
Smx2,Aar2,U5 snRNP complex,14
Smx2,Brr2,U5 snRNP complex,14
Smx2,Prp8,U5 snRNP complex,14
Smx2,Prp28,U5 snRNP complex,14
Smx2,Lin1,U5 snRNP complex,14
Smx2,Dib1,U5 snRNP complex,14
Smx3,Smb1,U5 snRNP complex,14
Smx3,Smd1,U5 snRNP complex,14
Smx3,Smd2,U5 snRNP complex,14
Smx3,Smd3,U5 snRNP complex,14
Smx3,Sme1,U5 snRNP complex,14
Smx3,Smx2,U5 snRNP complex,14
Smx3,Snu114,U5 snRNP complex,14
Smx3,Aar2,U5 snRNP complex,14
Smx3,Brr2,U5 snRNP complex,14
Smx3,Prp8,U5 snRNP complex,14
Smx3,Prp28,U5 snRNP complex,14
Smx3,Lin1,U5 snRNP complex,14
Smx3,Dib1,U5 snRNP complex,14
Snu114,Smb1,U5 snRNP complex,14
Snu114,Smd1,U5 snRNP complex,14
Snu114,Smd2,U5 snRNP complex,14
Snu114,Smd3,U5 snRNP complex,14
Snu114,Sme1,U5 snRNP complex,14
Snu114,Smx2,U5 snRNP complex,14
Snu114,Smx3,U5 snRNP complex,14
Snu114,Aar2,U5 snRNP complex,14
Snu114,Brr2,U5 snRNP complex,14
Snu114,Prp8,U5 snRNP complex,14
Snu114,Prp28,U5 snRNP complex,14
Snu114,Lin1,U5 snRNP complex,14
Snu114,Dib1,U5 snRNP complex,14
Aar2,Smb1,U5 snRNP complex,14
Aar2,Smd1,U5 snRNP complex,14
Aar2,Smd2,U5 snRNP complex,14
Aar2,Smd3,U5 snRNP complex,14
Aar2,Sme1,U5 snRNP complex,14
Aar2,Smx2,U5 snRNP complex,14
Aar2,Smx3,U5 snRNP complex,14
Aar2,Snu114,U5 snRNP complex,14
Aar2,Brr2,U5 snRNP complex,14
Aar2,Prp8,U5 snRNP complex,14
Aar2,Prp28,U5 snRNP complex,14
Aar2,Lin1,U5 snRNP complex,14
Aar2,Dib1,U5 snRNP complex,14
Brr2,Smb1,U5 snRNP complex,14
Brr2,Smd1,U5 snRNP complex,14
Brr2,Smd2,U5 snRNP complex,14
Brr2,Smd3,U5 snRNP complex,14
Brr2,Sme1,U5 snRNP complex,14
Brr2,Smx2,U5 snRNP complex,14
Brr2,Smx3,U5 snRNP complex,14
Brr2,Snu114,U5 snRNP complex,14
Brr2,Aar2,U5 snRNP complex,14
Brr2,Prp8,U5 snRNP complex,14
Brr2,Prp28,U5 snRNP complex,14
Brr2,Lin1,U5 snRNP complex,14
Brr2,Dib1,U5 snRNP complex,14
Prp8,Smb1,U5 snRNP complex,14
Prp8,Smd1,U5 snRNP complex,14
Prp8,Smd2,U5 snRNP complex,14
Prp8,Smd3,U5 snRNP complex,14
