bait,prey,complex,n_complex
Smb1,Smd1,U1 snRNP complex,17
Smb1,Smd2,U1 snRNP complex,17
Smb1,Smd3,U1 snRNP complex,17
Smb1,Sme1,U1 snRNP complex,17
Smb1,Smx2,U1 snRNP complex,17
Smb1,Smx3,U1 snRNP complex,17
Smb1,Luc7,U1 snRNP complex,17
Smb1,Mud1,U1 snRNP complex,17
Smb1,Nam8,U1 snRNP complex,17
Smb1,Prp39,U1 snRNP complex,17
Smb1,Prp40,U1 snRNP complex,17
Smb1,Prp42,U1 snRNP complex,17
Smb1,Snp1,U1 snRNP complex,17
Smb1,Snu56,U1 snRNP complex,17
Smb1,Snu71,U1 snRNP complex,17
Smb1,Yhc1,U1 snRNP complex,17
Smd1,Smb1,U1 snRNP complex,17
Smd1,Smd2,U1 snRNP complex,17
Smd1,Smd3,U1 snRNP complex,17
Smd1,Sme1,U1 snRNP complex,17
Smd1,Smx2,U1 snRNP complex,17
Smd1,Smx3,U1 snRNP complex,17
Smd1,Luc7,U1 snRNP complex,17
Smd1,Mud1,U1 snRNP complex,17
Smd1,Nam8,U1 snRNP complex,17
Smd1,Prp39,U1 snRNP complex,17
Smd1,Prp40,U1 snRNP complex,17
Smd1,Prp42,U1 snRNP complex,17
Smd1,Snp1,U1 snRNP complex,17
Smd1,Snu56,U1 snRNP complex,17
Smd1,Snu71,U1 snRNP complex,17
Smd1,Yhc1,U1 snRNP complex,17
Smd2,Smb1,U1 snRNP complex,17
Smd2,Smd1,U1 snRNP complex,17
Smd2,Smd3,U1 snRNP complex,17
Smd2,Sme1,U1 snRNP complex,17
Smd2,Smx2,U1 snRNP complex,17
Smd2,Smx3,U1 snRNP complex,17
Smd2,Luc7,U1 snRNP complex,17
Smd2,Mud1,U1 snRNP complex,17
Smd2,Nam8,U1 snRNP complex,17
Smd2,Prp39,U1 snRNP complex,17
Smd2,Prp40,U1 snRNP complex,17
Smd2,Prp42,U1 snRNP complex,17
Smd2,Snp1,U1 snRNP complex,17
Smd2,Snu56,U1 snRNP complex,17
Smd2,Snu71,U1 snRNP complex,17
Smd2,Yhc1,U1 snRNP complex,17
Smd3,Smb1,U1 snRNP complex,17
Smd3,Smd1,U1 snRNP complex,17
Smd3,Smd2,U1 snRNP complex,17
Smd3,Sme1,U1 snRNP complex,17
Smd3,Smx2,U1 snRNP complex,17
Smd3,Smx3,U1 snRNP complex,17
Smd3,Luc7,U1 snRNP complex,17
Smd3,Mud1,U1 snRNP complex,17
Smd3,Nam8,U1 snRNP complex,17
Smd3,Prp39,U1 snRNP complex,17
Smd3,Prp40,U1 snRNP complex,17
Smd3,Prp42,U1 snRNP complex,17
Smd3,Snp1,U1 snRNP complex,17
Smd3,Snu56,U1 snRNP complex,17
Smd3,Snu71,U1 snRNP complex,17
Smd3,Yhc1,U1 snRNP complex,17
Sme1,Smb1,U1 snRNP complex,17
Sme1,Smd1,U1 snRNP complex,17
Sme1,Smd2,U1 snRNP complex,17
Sme1,Smd3,U1 snRNP complex,17
Sme1,Smx2,U1 snRNP complex,17
Sme1,Smx3,U1 snRNP complex,17
Sme1,Luc7,U1 snRNP complex,17
Sme1,Mud1,U1 snRNP complex,17
Sme1,Nam8,U1 snRNP complex,17
Sme1,Prp39,U1 snRNP complex,17
Sme1,Prp40,U1 snRNP complex,17
Sme1,Prp42,U1 snRNP complex,17
Sme1,Snp1,U1 snRNP complex,17
Sme1,Snu56,U1 snRNP complex,17
Sme1,Snu71,U1 snRNP complex,17
Sme1,Yhc1,U1 snRNP complex,17
Smx2,Smb1,U1 snRNP complex,17
Smx2,Smd1,U1 snRNP complex,17
Smx2,Smd2,U1 snRNP complex,17
Smx2,Smd3,U1 snRNP complex,17
Smx2,Sme1,U1 snRNP complex,17
Smx2,Smx3,U1 snRNP complex,17
Smx2,Luc7,U1 snRNP complex,17
Smx2,Mud1,U1 snRNP complex,17
Smx2,Nam8,U1 snRNP complex,17
Smx2,Prp39,U1 snRNP complex,17
Smx2,Prp40,U1 snRNP complex,17
Smx2,Prp42,U1 snRNP complex,17
Smx2,Snp1,U1 snRNP complex,17
Smx2,Snu56,U1 snRNP complex,17
Smx2,Snu71,U1 snRNP complex,17
Smx2,Yhc1,U1 snRNP complex,17
Smx3,Smb1,U1 snRNP complex,17
Smx3,Smd1,U1 snRNP complex,17
Smx3,Smd2,U1 snRNP complex,17
Smx3,Smd3,U1 snRNP complex,17
Smx3,Sme1,U1 snRNP complex,17
Smx3,Smx2,U1 snRNP complex,17
Smx3,Luc7,U1 snRNP complex,17
Smx3,Mud1,U1 snRNP complex,17
Smx3,Nam8,U1 snRNP complex,17
Smx3,Prp39,U1 snRNP complex,17
Smx3,Prp40,U1 snRNP complex,17
Smx3,Prp42,U1 snRNP complex,17
Smx3,Snp1,U1 snRNP complex,17
Smx3,Snu56,U1 snRNP complex,17
Smx3,Snu71,U1 snRNP complex,17
Smx3,Yhc1,U1 snRNP complex,17
Luc7,Smb1,U1 snRNP complex,17
Luc7,Smd1,U1 snRNP complex,17
Luc7,Smd2,U1 snRNP complex,17
Luc7,Smd3,U1 snRNP complex,17
Luc7,Sme1,U1 snRNP complex,17
Luc7,Smx2,U1 snRNP complex,17
Luc7,Smx3,U1 snRNP complex,17
Luc7,Mud1,U1 snRNP complex,17
Luc7,Nam8,U1 snRNP complex,17
Luc7,Prp39,U1 snRNP complex,17
Luc7,Prp40,U1 snRNP complex,17
Luc7,Prp42,U1 snRNP complex,17
Luc7,Snp1,U1 snRNP complex,17
Luc7,Snu56,U1 snRNP complex,17
Luc7,Snu71,U1 snRNP complex,17
Luc7,Yhc1,U1 snRNP complex,17
Mud1,Smb1,U1 snRNP complex,17
Mud1,Smd1,U1 snRNP complex,17
Mud1,Smd2,U1 snRNP complex,17
Mud1,Smd3,U1 snRNP complex,17
Mud1,Sme1,U1 snRNP complex,17
