bait,prey,complex,n_complex
Lsm2,Lsm3,U6 snRNP complex,8
Lsm2,Lsm4,U6 snRNP complex,8
Lsm2,Lsm5,U6 snRNP complex,8
Lsm2,Lsm6,U6 snRNP complex,8
Lsm2,Lsm7,U6 snRNP complex,8
Lsm2,Lsm8,U6 snRNP complex,8
Lsm2,Prp24,U6 snRNP complex,8
Lsm3,Lsm2,U6 snRNP complex,8
Lsm3,Lsm4,U6 snRNP complex,8
Lsm3,Lsm5,U6 snRNP complex,8
Lsm3,Lsm6,U6 snRNP complex,8
Lsm3,Lsm7,U6 snRNP complex,8
Lsm3,Lsm8,U6 snRNP complex,8
Lsm3,Prp24,U6 snRNP complex,8
Lsm4,Lsm2,U6 snRNP complex,8
Lsm4,Lsm3,U6 snRNP complex,8
Lsm4,Lsm5,U6 snRNP complex,8
Lsm4,Lsm6,U6 snRNP complex,8
Lsm4,Lsm7,U6 snRNP complex,8
Lsm4,Lsm8,U6 snRNP complex,8
Lsm4,Prp24,U6 snRNP complex,8
Lsm5,Lsm2,U6 snRNP complex,8
Lsm5,Lsm3,U6 snRNP complex,8
Lsm5,Lsm4,U6 snRNP complex,8
Lsm5,Lsm6,U6 snRNP complex,8
Lsm5,Lsm7,U6 snRNP complex,8
Lsm5,Lsm8,U6 snRNP complex,8
Lsm5,Prp24,U6 snRNP complex,8
Lsm6,Lsm2,U6 snRNP complex,8
Lsm6,Lsm3,U6 snRNP complex,8
Lsm6,Lsm4,U6 snRNP complex,8
Lsm6,Lsm5,U6 snRNP complex,8
Lsm6,Lsm7,U6 snRNP complex,8
Lsm6,Lsm8,U6 snRNP complex,8
Lsm6,Prp24,U6 snRNP complex,8
Lsm7,Lsm2,U6 snRNP complex,8
Lsm7,Lsm3,U6 snRNP complex,8
Lsm7,Lsm4,U6 snRNP complex,8
Lsm7,Lsm5,U6 snRNP complex,8
Lsm7,Lsm6,U6 snRNP complex,8
Lsm7,Lsm8,U6 snRNP complex,8
Lsm7,Prp24,U6 snRNP complex,8
Lsm8,Lsm2,U6 snRNP complex,8
Lsm8,Lsm3,U6 snRNP complex,8
Lsm8,Lsm4,U6 snRNP complex,8
Lsm8,Lsm5,U6 snRNP complex,8
Lsm8,Lsm6,U6 snRNP complex,8
Lsm8,Lsm7,U6 snRNP complex,8
Lsm8,Prp24,U6 snRNP complex,8
Prp24,Lsm2,U6 snRNP complex,8
Prp24,Lsm3,U6 snRNP complex,8
Prp24,Lsm4,U6 snRNP complex,8
Prp24,Lsm5,U6 snRNP complex,8
Prp24,Lsm6,U6 snRNP complex,8
Prp24,Lsm7,U6 snRNP complex,8
Prp24,Lsm8,U6 snRNP complex,8
