"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YER165W","PAB1","PAB1",3.62768170297246,3.62730619872129,27.6917895157907,27.8005145579665,27.7151561813426,27.6295091519413,27.6917895157907,27.8005145579665,27.7151561813426,27.6295091519413,4,23.5762324421916,24.3003369184145,24.4567604769326,23.9929127576126,23.5762324421916,24.3003369184145,24.4567604769326,23.9929127576126,4
"YJL034W","KAR2","KAR2",1.1778761200794,3.41348772556686,32.5444370666152,32.6825267284089,32.7253344266338,32.8168264248365,32.5444370666152,32.6825267284089,32.7253344266338,32.8168264248365,4,31.5885743266532,31.575334587841,31.1946616773752,31.6990495743075,31.5885743266532,31.575334587841,31.1946616773752,31.6990495743075,4
"YLR432W;YAR073W;YHR216W","IMD3","IMD3",3.30377639548732,2.91727122739825,25.5025475237037,23.9539363823526,25.1289622090662,25.4111871777936,25.5025475237037,23.9539363823526,25.1289622090662,25.4111871777936,4,NA,22.3157565586817,22.5643951393585,NA,20.946698315537,22.3157565586817,22.5643951393585,20.9546776973897,2
"YDR375C","BCS1","BCS1",1.15166380785907,2.75503746879661,25.8967063817874,25.5710322862279,25.7277250171155,25.8747632095415,25.8967063817874,25.5710322862279,25.7277250171155,25.8747632095415,4,24.6540345937953,24.8142605227738,24.1739424208362,24.8213341258308,24.6540345937953,24.8142605227738,24.1739424208362,24.8213341258308,4
"YHL034C","SBP1","SBP1",2.66280743733098,2.68375724327606,24.0842387549725,23.2467000128477,24.3324480056064,24.2166748203854,24.0842387549725,23.2467000128477,24.3324480056064,24.2166748203854,4,NA,NA,22.4735293809112,NA,20.8870936163672,20.9292186302464,22.4735293809112,20.9389902169632,1
"YJR064W","CCT5","CCT5",1.25879528845055,2.61816787880364,25.4727736247891,25.618853261242,25.0292215001204,25.702899564762,25.4727736247891,25.618853261242,25.0292215001204,25.702899564762,4,24.152826999002,24.2598305979336,24.10948636152,24.2664228386558,24.152826999002,24.2598305979336,24.10948636152,24.2664228386558,4
