"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YJL130C;YJR109C","URA2","URA2",1.92652439062984,3.66395746852422,27.4531690090479,27.9390444179905,27.7511090298299,28.1233187297698,27.4531690090479,27.9390444179905,27.7511090298299,28.1233187297698,4,25.7494731760923,25.8118377783166,25.5825915498684,26.4166411198415,25.7494731760923,25.8118377783166,25.5825915498684,26.4166411198415,4
"YLL024C","SSA2","SSA2",1.41073185880929,3.38692834660045,30.0568528760095,29.9178372760513,29.7960333191648,29.4531493804104,30.0568528760095,29.9178372760513,29.7960333191648,29.4531493804104,4,28.1351123446068,28.3181639919547,28.3033452136621,28.8243238661752,28.1351123446068,28.3181639919547,28.3033452136621,28.8243238661752,4
"YBL047C","EDE1","EDE1",1.07130792723747,3.33037803961042,22.9539363823526,23.1037360193774,23.1446358399426,23.4547541210548,22.9539363823526,23.1037360193774,23.1446358399426,23.4547541210548,4,22.1005635342517,22.2318387529605,NA,22.0730994549494,22.1005635342517,22.2318387529605,21.966328911616,22.0730994549494,3
"YLL026W","HSP104","HSP104",1.90396402346942,2.91044249733481,23.7635471198127,23.5721894973599,24.4651319175387,24.3557516579867,23.7635471198127,23.5721894973599,24.4651319175387,24.3557516579867,4,NA,NA,NA,22.8594839808133,21.8893715947241,21.7792461869872,22.0126623362956,22.8594839808133,1
"YAL005C","SSA1","SSA1",1.15077757054006,2.7867149594228,25.5282354170269,25.3811299439374,25.5123170610879,24.8593228319093,25.5282354170269,25.3811299439374,25.5123170610879,24.8593228319093,4,24.1098848410256,24.2593277790738,23.819581154727,24.4891011969748,24.1098848410256,24.2593277790738,23.819581154727,24.4891011969748,4
"YLR342W;YGR032W","FKS1","FKS1",1.58512789396043,2.73109587134238,23.893099295471,23.4370784553294,23.3303293597689,23.4382212847134,23.893099295471,23.4370784553294,23.3303293597689,23.4382212847134,4,NA,NA,NA,22.6000735111345,21.6718071581713,21.7289347526602,21.757401397475,22.6000735111345,1
"YNL209W","SSB2","SSB2",1.33340396374011,2.55080595490324,29.7391166965301,29.6202210282929,29.1278756108697,29.0768639042578,29.7391166965301,29.6202210282929,29.1278756108697,29.0768639042578,4,27.7712762676745,27.9448074844378,27.8424211310851,28.6719565017925,27.7712762676745,27.9448074844378,27.8424211310851,28.6719565017925,4
"YER110C","KAP123","KAP123",2.21565753602588,2.48517587275424,23.8294866119334,24.3152037490031,24.8073977696703,24.2627004915414,23.8294866119334,24.3152037490031,24.8073977696703,24.2627004915414,4,NA,NA,NA,23.1379773675726,21.630850309601,21.7387330035119,21.8445977973593,23.1379773675726,1
"YMR012W","CLU1","CLU1",1.93464086466295,2.45701707087558,24.6827644650966,23.8791412237357,23.8838089353294,23.392835177813,24.6827644650966,23.8791412237357,23.8838089353294,23.392835177813,4,NA,NA,NA,22.9486709362954,21.8155334378171,21.5837905436896,21.7519914255208,22.9486709362954,1
"YGR162W","TIF4631","TIF4631",1.61387504462616,2.43008879376198,24.7082516253094,24.7849654636217,23.9613747970284,23.9801535268972,24.7082516253094,24.7849654636217,23.9613747970284,23.9801535268972,4,22.9128367214246,22.8913387245356,NA,23.1945428616122,22.9128367214246,22.8913387245356,21.9805269267796,23.1945428616122,3
"YDR129C","SAC6","SAC6",1.05065543605266,2.39141072130481,22.3874283787104,22.699837600314,NA,NA,22.3874283787104,22.699837600314,22.6061668518834,23.0487413216895,2,NA,NA,NA,NA,21.7173688363697,21.9150607331525,21.7932331660288,21.1138896728355,0
"YGL173C","XRN1","XRN1",2.37815034490952,2.38171183029024,25.1490707348793,24.899336637832,24.9571732634604,25.1018942637397,25.1490707348793,24.899336637832,24.9571732634604,25.1018942637397,4,23.1158964766556,NA,NA,23.2276294563965,23.1158964766556,21.8846916544734,22.366655932748,23.2276294563965,2
"YPL019C;YFL004W","VTC3","VTC3",1.19425783385018,2.37943448616043,23.3758380717377,22.8413416734658,NA,NA,23.3758380717377,22.8413416734658,22.5970191275709,22.4405623784352,2,NA,NA,NA,NA,21.8375142549584,21.5774938625659,21.8584368598893,21.2042849383952,0
"YDR172W","SUP35","SUP35",1.24364439897388,2.35146973984443,22.9535101694814,23.2579621009818,NA,NA,22.9535101694814,23.2579621009818,22.65811047977,22.9907607061022,2,NA,NA,NA,NA,21.8426356579182,21.7402240432307,22.1627132709733,21.1401928883177,0
"YCL037C","SRO9","SRO9",2.32866963367076,2.30010695135681,25.0384612309546,24.8881363955175,24.4443011323385,24.2068736635229,25.0384612309546,24.8881363955175,24.4443011323385,24.2068736635229,4,NA,NA,NA,23.4627628572616,21.7171182548413,21.8378270976866,22.2453856778611,23.4627628572616,1
"YGL148W","ARO2","ARO2",1.24877783577791,2.12011613944571,23.6306759539482,23.0038973613162,NA,NA,23.6306759539482,23.0038973613162,22.7022011596858,22.5307351178789,2,NA,NA,NA,NA,21.6458326023838,21.6772042711042,22.2421264155133,21.3072349607162,0
"YPL240C","HSP82","HSP82",1.17908129786445,2.09289507069688,23.113482109811,23.1839842283568,NA,NA,23.113482109811,23.1839842283568,22.5027746272491,22.5787705449132,2,NA,NA,NA,NA,21.4752468100313,21.9247157862246,22.1565283193639,21.1061954032526,0
"YOR133W;YDR385W","EFT1","EFT1",1.54179247084664,2.07832265791274,29.9383154017648,29.7617192932953,28.8498355284167,29.4254640372899,29.9383154017648,29.7617192932953,28.8498355284167,29.4254640372899,4,27.7378281732087,27.7923451849558,27.4361095159808,28.8418815032348,27.7378281732087,27.7923451849558,27.4361095159808,28.8418815032348,4
"YDR127W","ARO1","ARO1",1.53813154097805,2.0144971590681,23.7126134786782,23.9298543509444,NA,NA,23.7126134786782,23.9298543509444,22.5412746253796,22.9946390166598,2,NA,NA,NA,NA,21.8202218885848,21.9030843223213,22.1844867213755,21.1180623754683,0
"YBR218C;YGL062W","PYC2","PYC2",1.20307927200372,2.00776677868901,23.7671895245437,23.3808658108278,NA,NA,23.7671895245437,23.3808658108278,22.7700251840415,22.7239336885746,2,NA,NA,NA,22.283140365382,21.6100371049222,22.0759976273258,21.8605220223428,22.283140365382,1
"YGR185C","TYS1","TYS1",2.44117338212886,1.94198039652421,25.589208574532,25.6206160750568,24.8488570983752,23.9152462640222,25.589208574532,25.6206160750568,24.8488570983752,23.9152462640222,4,NA,NA,NA,24.1261284553468,22.0138889846042,22.0680908695666,22.0011261739533,24.1261284553468,1
"YOR341W","RPA190","RPA190",1.70900159967592,1.92559175160438,24.3045902936949,24.3066080006711,25.1400468115359,25.4578252196797,24.3045902936949,24.3066080006711,25.1400468115359,25.4578252196797,4,22.9551255606387,23.819581154727,NA,23.4699825714116,22.9551255606387,23.819581154727,22.1283746401006,23.4699825714116,3
"YLR249W;YNL014W","YEF3","YEF3",1.55741165419462,1.91230334916039,29.8133402367558,29.5412459762813,28.7594510914456,29.0127590446712,29.8133402367558,29.5412459762813,28.7594510914456,29.0127590446712,4,27.4986880572758,27.5336364072086,27.1420938100117,28.7227314578792,27.4986880572758,27.5336364072086,27.1420938100117,28.7227314578792,4
"YMR229C","RRP5","RRP5",1.69056550540598,1.81069705924474,24.2889798163402,24.3282760907082,24.1396175483441,24.4069129064668,24.2889798163402,24.3282760907082,24.1396175483441,24.4069129064668,4,23.4626380620501,NA,NA,22.8216455422702,23.4626380620501,21.8573462476408,22.2598944882742,22.8216455422702,2
"YPL091W","GLR1","GLR1",1.29162873603929,1.73829912407003,23.6267829384846,23.7786635095847,NA,NA,23.6267829384846,23.7786635095847,22.455576455058,23.0045303793089,2,NA,NA,NA,22.6844455848408,21.5764953940363,21.648733298649,21.7893640607529,22.6844455848408,1
"YER165W","PAB1","PAB1",2.87856907541693,1.72595032796041,26.5733891236307,26.5450265533351,26.5434048849189,26.0007766365556,26.5733891236307,26.5450265533351,26.5434048849189,26.0007766365556,4,23.5137632512091,23.7073566041806,NA,25.0445605472719,23.5137632512091,23.7073566041806,21.882640494111,25.0445605472719,3
"YNR016C;YMR207C","ACC1","ACC1",2.2751478400851,1.72107455200609,26.9046057749459,27.053723580804,25.8535998700917,26.6283970339129,26.9046057749459,27.053723580804,25.8535998700917,26.6283970339129,4,24.4683053438936,24.8100977458654,22.7375832236231,25.323748586032,24.4683053438936,24.8100977458654,22.7375832236231,25.323748586032,4
"YDL171C","GLT1","GLT1",2.33842618937626,1.7024742148691,24.715548983008,24.7194711287156,24.4902647842512,24.9317038156447,24.715548983008,24.7194711287156,24.4902647842512,24.9317038156447,4,NA,NA,NA,23.9545577171693,21.7049581565888,21.9251406359908,21.9186274443655,23.9545577171693,1
"YPL127C","HHO1","HHO1",1.8314912360667,1.68217083591565,23.5357585307992,24.2953704247268,23.2513598939507,NA,23.5357585307992,24.2953704247268,23.2513598939507,22.2228847786882,3,NA,NA,21.2352032144032,21.503924705642,21.7004410837817,21.5398396800712,21.2352032144032,21.503924705642,2
"YKR001C","VPS1","VPS1",1.57491576300238,1.67500190343208,24.0569717071292,24.3269741738905,24.169820432201,24.3008256480771,24.0569717071292,24.3269741738905,24.169820432201,24.3008256480771,4,23.2678519571886,NA,NA,23.2066650372991,23.2678519571886,21.7588599158191,22.3215519989814,23.2066650372991,2
"YPR074C","TKL1","TKL1",2.32359478731295,1.66659449399677,26.5391799962562,25.8853692477962,25.1689793220434,25.4603586511853,26.5391799962562,25.8853692477962,25.1689793220434,25.4603586511853,4,23.409116385238,23.0174180849729,NA,25.0782237914436,23.409116385238,23.0174180849729,22.2547498063747,25.0782237914436,3
"YMR108W","ILV2","ILV2",1.73777778942312,1.62920748938689,24.7871596770346,24.8003047141079,23.7960023656898,23.836630592874,24.7871596770346,24.8003047141079,23.7960023656898,23.836630592874,4,23.3795444194175,NA,NA,23.2905273951565,23.3795444194175,21.5084774207579,22.090436956682,23.2905273951565,2
"YDL195W","SEC31","SEC31",1.2793011952871,1.62209753247097,23.4225237093464,23.6143665680258,NA,NA,23.4225237093464,23.6143665680258,22.3664312270445,22.3745593012669,2,NA,NA,NA,NA,21.7225253755701,21.6984307682336,22.2149133624756,21.0248065182558,0
"YGR204W","ADE3","ADE3",2.86571741639813,1.60948024844636,25.5856317019682,25.3165853762308,NA,25.113744391267,25.5856317019682,25.3165853762308,22.4971088766926,25.113744391267,3,NA,NA,NA,NA,21.7703114332916,21.8575909468068,22.1394806687717,21.282817631696,0
"YDR037W","KRS1","KRS1",2.7339254904171,1.5752562311759,26.4670461424009,25.7270498169184,24.2258217057687,24.9337309904748,26.4670461424009,25.7270498169184,24.2258217057687,24.9337309904748,4,NA,NA,NA,24.8250278626251,21.6584706435385,21.841313892247,22.0931342954838,24.8250278626251,1
"YER091C","MET6","MET6",2.64359460712407,1.5740753588623,26.9217292752336,25.716098725729,24.59770023669,24.8883222319962,26.9217292752336,25.716098725729,24.59770023669,24.8883222319962,4,22.5679263753601,22.2752606385032,NA,24.9570403839454,22.5679263753601,22.2752606385032,21.7492446433438,24.9570403839454,3
"YJL080C","SCP160","SCP160",2.11649452672899,1.56131025531266,26.5623526053852,25.1786605963957,24.5681931898678,24.7289966514765,26.5623526053852,25.1786605963957,24.5681931898678,24.7289966514765,4,23.0291962197662,22.5658597926992,NA,24.7514410860893,23.0291962197662,22.5658597926992,22.2257278376546,24.7514410860893,3
"YBR079C","RPG1","RPG1",1.85065929493784,1.52622144414719,24.9920051167894,24.4139651329657,23.1501017768033,24.0554830283262,24.9920051167894,24.4139651329657,23.1501017768033,24.0554830283262,4,NA,NA,NA,23.7552160407916,21.5632507655515,21.6299696940153,22.2604813747747,23.7552160407916,1
"YGL195W","GCN1","GCN1",1.9119742797125,1.47296404482481,24.9747818186819,25.2591122316184,24.6393142090632,24.7985259878485,24.9747818186819,25.2591122316184,24.6393142090632,24.7985259878485,4,23.4075613378863,NA,NA,24.3347681097574,23.4075613378863,22.0771606359369,22.2043470447815,24.3347681097574,2
"YKL182W","FAS1","FAS1",2.53092129758205,1.46895284287484,27.9740487558166,28.2236600888725,27.1107810177027,27.4166733304051,27.9740487558166,28.2236600888725,27.1107810177027,27.4166733304051,4,24.8902256770013,25.1432816862151,23.513522320173,27.0544483190794,24.8902256770013,25.1432816862151,23.513522320173,27.0544483190794,4
"YPL160W","CDC60","CDC60",2.64358238589986,1.41709898257574,27.1842340017744,26.2013685049248,25.0842387549725,25.1655716356798,27.1842340017744,26.2013685049248,25.0842387549725,25.1655716356798,4,22.6946188936256,22.7287891142481,NA,25.6290644075993,22.6946188936256,22.7287891142481,22.0086109382791,25.6290644075993,3
"YPL106C;YBR169C","SSE1","SSE1",1.74374368644768,1.41106543111468,27.1561491354076,26.8385793845104,25.9716938712898,26.1440406358127,27.1561491354076,26.8385793845104,25.9716938712898,26.1440406358127,4,24.6454842904313,24.7172237362,23.5812989795881,26.1914812750103,24.6454842904313,24.7172237362,23.5812989795881,26.1914812750103,4
"YPL231W","FAS2","FAS2",3.23709862446628,1.39524204525758,28.2511052195879,28.0966765544687,25.9205712955354,26.4065885814332,28.2511052195879,28.0966765544687,25.9205712955354,26.4065885814332,4,23.4916720827889,22.9440299752677,22.4188748278093,26.871970267294,23.4916720827889,22.9440299752677,22.4188748278093,26.871970267294,4
"YGR094W","VAS1","VAS1",3.16493901636948,1.38992773005025,26.8770124057021,26.4756056711858,25.2624854474388,25.1954292825118,26.8770124057021,26.4756056711858,25.2624854474388,25.1954292825118,4,NA,NA,NA,25.7238252768304,21.696830616454,21.6469252585808,22.0831955894954,25.7238252768304,1
