"category_loop","colors_interaction_loop","complex","interaction","n_complex","name","selected","shared interaction","shared name"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm8","false","interacts with","Prp24 (interacts with) Lsm8"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm7","false","interacts with","Prp24 (interacts with) Lsm7"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm6","false","interacts with","Prp24 (interacts with) Lsm6"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm5","false","interacts with","Prp24 (interacts with) Lsm5"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm4","false","interacts with","Prp24 (interacts with) Lsm4"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm3","false","interacts with","Prp24 (interacts with) Lsm3"
,,"U6 snRNP complex","interacts with","8","Prp24 (interacts with) Lsm2","false","interacts with","Prp24 (interacts with) Lsm2"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Prp24","false","interacts with","Lsm8 (interacts with) Prp24"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm7","false","interacts with","Lsm8 (interacts with) Lsm7"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm6","false","interacts with","Lsm8 (interacts with) Lsm6"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm5","false","interacts with","Lsm8 (interacts with) Lsm5"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm4","false","interacts with","Lsm8 (interacts with) Lsm4"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm3","false","interacts with","Lsm8 (interacts with) Lsm3"
,,"U6 snRNP complex","interacts with","8","Lsm8 (interacts with) Lsm2","false","interacts with","Lsm8 (interacts with) Lsm2"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Prp24","false","interacts with","Lsm7 (interacts with) Prp24"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm8","false","interacts with","Lsm7 (interacts with) Lsm8"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm6","false","interacts with","Lsm7 (interacts with) Lsm6"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm5","false","interacts with","Lsm7 (interacts with) Lsm5"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm4","false","interacts with","Lsm7 (interacts with) Lsm4"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm3","false","interacts with","Lsm7 (interacts with) Lsm3"
,,"U6 snRNP complex","interacts with","8","Lsm7 (interacts with) Lsm2","false","interacts with","Lsm7 (interacts with) Lsm2"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Prp24","false","interacts with","Lsm6 (interacts with) Prp24"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm8","false","interacts with","Lsm6 (interacts with) Lsm8"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm7","false","interacts with","Lsm6 (interacts with) Lsm7"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm5","false","interacts with","Lsm6 (interacts with) Lsm5"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm4","false","interacts with","Lsm6 (interacts with) Lsm4"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm3","false","interacts with","Lsm6 (interacts with) Lsm3"
,,"U6 snRNP complex","interacts with","8","Lsm6 (interacts with) Lsm2","false","interacts with","Lsm6 (interacts with) Lsm2"
