"Gene","Count"
"NAM7",143
"PAB1",83
"STO1",70
"LSM2",49
"TIF4631",49
"HRB1",48
"RRP40",48
"DHH1",45
"GLC7",45
"MUD2",45
"PRP22",45
"GBP2",44
"CBC2",43
"MTR4",38
"MPE1",38
"MSL1",32
"SGN1",32
"HBS1",30
"FAL1",28
"SUB2",28
"CFT1",27
"SPT5",26
"SKI2",26
"RPB7",22
"DCP2",22
"RNA14",21
"PUF3",20
"HSH49",19
"DBP2",18
"PAN3",17
"MIP6",15
"IST3",14
"SNP1",14
"NMD2",13
"DIS3",12
"SUP35",10
"NDC1",6
"RPO21",6
"MEX67",6
"UPF3",5
