"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YAL043C","PTA1","PTA1",6.23876043428643,8.99269898152458,26.6423750030235,26.3485096205338,26.452729263547,26.3390402937074,26.6423750030235,26.3485096205338,26.452729263547,26.3390402937074,4,NA,NA,NA,NA,20.1867716628961,20.3268855366116,20.0245651001146,20.2893901440438,0
"YPR107C","YTH1","YTH1",5.58783049742959,7.00429847814274,26.2466275356408,25.8881828568814,26.0841373588084,26.1062146713723,26.2466275356408,25.8881828568814,26.0841373588084,26.1062146713723,4,NA,NA,NA,NA,20.5295733488824,20.4145557739313,20.2468135529521,20.7828977572187,0
"YJR093C","FIP1","FIP1",5.34619452842091,6.53683016270436,26.1685585830012,25.9185255318486,25.7745976683567,25.5859754667975,26.1685585830012,25.9185255318486,25.7745976683567,25.5859754667975,4,NA,NA,NA,NA,20.4215978224567,20.9727895889559,20.353692738334,20.3147989865737,0
"YDR301W","CFT1","CFT1",6.91866391045173,6.36650378072422,27.18063460318,27.8557872490727,28.109835037106,27.6487651565329,27.18063460318,27.8557872490727,28.109835037106,27.6487651565329,4,NA,21.0099051404454,NA,NA,20.9376767706566,21.0099051404454,20.1295470014916,21.0432374914912,1
"YKL059C","MPE1","MPE1",7.43625334135277,6.35158966330721,28.3120729254378,27.9728991761448,27.9481540297586,28.12726065658,28.3120729254378,27.9728991761448,27.9481540297586,28.12726065658,4,NA,NA,NA,NA,20.8356794807025,20.4304840564292,20.3471690758003,21.0020408095781,0
"YJR007W","SUI2","SUI2",3.02320080301772,5.86036936854325,23.6257801770921,23.3674638106445,23.1892732043793,23.1640451405227,23.6257801770921,23.3674638106445,23.1892732043793,23.1640451405227,4,NA,NA,NA,NA,20.3060289113439,20.2990739043635,20.504888456264,20.1437678485963,0
"YGR156W","PTI1","PTI1",4.19287763710488,5.81664357591166,25.151279208873,24.7923824233233,24.5371221648186,24.9879786864227,25.151279208873,24.7923824233233,24.5371221648186,24.9879786864227,4,NA,NA,NA,NA,20.9548180484056,20.896425622937,20.2452871796498,20.6007210840256,0
"YFL039C","ACT1","ACT1",4.16275218754255,5.53920065167073,24.8074469052745,24.6113864310539,24.0173331231025,24.205904786538,24.8074469052745,24.6113864310539,24.0173331231025,24.205904786538,4,NA,NA,NA,NA,20.1991694970472,20.6545592872558,19.9316425288807,20.2056911826151,0
"YER025W","GCD11","GCD11",2.31641626291882,5.45975277847669,22.8166352656153,22.8621923788761,22.4031722567806,22.7592859921216,22.8166352656153,22.8621923788761,22.4031722567806,22.7592859921216,4,NA,NA,NA,NA,20.663590101147,20.2676466813735,20.3103833562166,20.3340007029811,0
"YNL222W","SSU72","SSU72",3.20227533456702,5.40735120201719,24.1063744382651,23.4557576477735,23.7807672210889,23.8549079409563,24.1063744382651,23.4557576477735,23.7807672210889,23.8549079409563,4,NA,NA,NA,NA,20.2668125242021,20.8554973120621,20.4329864462084,20.8334096273431,0
"YGL009C","LEU1","LEU1",2.36880194671617,5.21743606242617,22.5722820341638,22.9419187574937,22.661991153681,22.5792744992827,22.5722820341638,22.9419187574937,22.661991153681,22.5792744992827,4,NA,NA,NA,NA,20.5664555396394,20.4038643308255,20.2893893718319,20.0205494154597,0
"YKL103C","APE1","APE1",2.90070842347563,5.2102457330983,23.6637292098097,23.7699153058454,23.4424039308541,23.1469054754085,23.6637292098097,23.7699153058454,23.4424039308541,23.1469054754085,4,NA,NA,NA,NA,20.4456408091661,21.0187642894989,20.4123746036605,20.5433405256897,0
"YLR277C","YSH1","YSH1",6.86030271028749,5.19984667078502,27.5839833579355,27.2898241560293,27.3800566022259,27.2471710259621,27.5839833579355,27.2898241560293,27.3800566022259,27.2471710259621,4,NA,NA,NA,NA,20.562159891019,20.8329972292251,19.963401157853,20.7012660229057,0
"YBR143C","SUP45","SUP45",3.10000963283387,5.14163583068811,23.9121423185491,23.5978706974973,23.7800663247093,23.4811145328222,23.9121423185491,23.5978706974973,23.7800663247093,23.4811145328222,4,NA,NA,NA,NA,20.3369907321886,20.7151355984678,20.3749545305801,20.944074481006,0
"YKR084C-TAP","HBS1-TAP","HBS1-TAP",7.27466525566561,4.98617896286162,27.6712816830137,27.6643126184966,27.530439915536,27.9061552397264,27.6712816830137,27.6643126184966,27.530439915536,27.9061552397264,4,NA,NA,NA,NA,21.0341808999962,20.3024798153849,20.0210255263341,20.3158421923951,0
"YLR115W","CFT2","CFT2",6.31769013733669,4.94797621850485,27.184517782723,26.9121651660662,27.0869940010714,26.9326952347785,27.184517782723,26.9121651660662,27.0869940010714,26.9326952347785,4,NA,NA,NA,NA,21.1815728698466,20.3569668239997,20.4749629396516,20.8321090017944,0
"YML008C","ERG6","ERG6",2.51680284703837,4.93881437902616,23.1798453245554,23.4382212847134,22.7613775464591,23.1526104083228,23.1798453245554,23.4382212847134,22.7613775464591,23.1526104083228,4,NA,NA,NA,NA,20.980135869094,20.4536593671663,20.4640026422041,20.5670452974327,0
"YER110C","KAP123","KAP123",1.93804045718928,4.86742878002185,22.3113558586526,22.1640144406378,22.3000575699693,22.0736878830989,22.3113558586526,22.1640144406378,22.3000575699693,22.0736878830989,4,NA,NA,NA,NA,20.232010773436,20.0842459781714,20.2407965808271,20.539900591167,0
"YDR195W","REF2","REF2",4.35757068896482,4.86653329465368,24.796844063663,24.6519564913339,25.0392982795353,24.7405198773407,24.796844063663,24.6519564913339,25.0392982795353,24.7405198773407,4,NA,NA,NA,NA,20.4826346809835,20.3517797346625,20.0586274610187,20.9052940793489,0
"YLR249W;YNL014W","YEF3","YEF3",2.21139690536929,4.85774701749253,28.2233378686429,28.1957765659173,28.1904643243996,28.0823313136796,28.2233378686429,28.1957765659173,28.1904643243996,28.0823313136796,4,25.9069465462126,25.8318557683216,25.9207530008841,26.1867671357439,25.9069465462126,25.8318557683216,25.9207530008841,26.1867671357439,4
