"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YER165W","PAB1","PAB1",2.34507602696385,4.15638786954836,28.2183573284574,28.7896739293534,29.0709920175568,28.8030118242583,28.2183573284574,28.7896739293534,29.0709920175568,28.8030118242583,4,26.7611644685017,26.308049974845,26.3506523333771,26.0818642150467,26.7611644685017,26.308049974845,26.3506523333771,26.0818642150467,4
"YDR293C","SSD1","SSD1",3.36856143139509,3.58103788259573,23.7934247075643,24.1674487733735,24.2748342471772,24.4294363696176,23.7934247075643,24.1674487733735,24.2748342471772,24.4294363696176,4,NA,NA,NA,NA,21.1165551138129,21.0584687762181,21.0544490153766,19.9614254667447,0
"YMR229C","RRP5","RRP5",1.48480950147153,2.67286470620795,26.5917784426767,27.3125923164337,27.5812558739612,27.4099741833771,26.5917784426767,27.3125923164337,27.5812558739612,27.4099741833771,4,25.8800526135919,25.5691788155495,26.0509662502272,25.4561651311941,25.8800526135919,25.5691788155495,26.0509662502272,25.4561651311941,4
"YJL080C","SCP160","SCP160",1.29250825986321,2.6186930282288,25.9676102723008,25.5778464531137,25.1986923239922,25.315030952529,25.9676102723008,25.5778464531137,25.1986923239922,25.315030952529,4,24.5404369376341,23.6945551342048,24.457449517844,24.1967053728,24.5404369376341,23.6945551342048,24.457449517844,24.1967053728,4
"YBL032W","HEK2","HEK2",1.88141821484682,2.51968686901287,NA,23.0329665215067,23.3677304086386,NA,22.0930256452906,23.0329665215067,23.3677304086386,22.3346907982955,2,NA,NA,NA,NA,21.100993949929,20.8744778178055,21.0186141785172,20.3086545680924,0
"YGL173C","XRN1","XRN1",1.30105783361904,2.44470540408242,26.0342057067191,26.4240146517319,27.0231626301525,26.4869399475386,26.0342057067191,26.4240146517319,27.0231626301525,26.4869399475386,4,25.2227300574751,25.0785902832634,25.4490962396614,25.0136750212659,25.2227300574751,25.0785902832634,25.4490962396614,25.0136750212659,4
"YNR051C","BRE5","BRE5",1.94027975121659,2.15944350677401,22.5239897256476,23.5079697721643,23.4541265621946,NA,22.5239897256476,23.5079697721643,23.4541265621946,22.3791401871124,3,NA,NA,21.4682183233442,NA,21.2855730463505,21.4190976443316,21.4682183233442,19.9312182282263,1
"YDR170C","SEC7","SEC7",1.1335859791592,2.05402316233437,NA,NA,NA,NA,22.2171107551734,21.4295847441916,21.6170305895798,22.3474648354276,0,20.9484214183315,20.5780999193133,20.9492767288892,20.6010489412016,20.9484214183315,20.5780999193133,20.9492767288892,20.6010489412016,4
"YGR090W","UTP22","UTP22",1.36015224332554,1.90085215521613,24.6694716106296,25.5814426557099,25.8338592603137,25.8712888141425,24.6694716106296,25.5814426557099,25.8338592603137,25.8712888141425,4,24.2973310842115,24.1569977568834,23.8720172522003,24.1891072741984,24.2973310842115,24.1569977568834,23.8720172522003,24.1891072741984,4
"YOR168W","GLN4","GLN4",1.44697280162269,1.5583820141609,23.4307128650476,22.1481786380666,NA,NA,23.4307128650476,22.1481786380666,21.5100843032927,22.3568289597276,2,NA,NA,NA,NA,21.1963373877689,21.1514191549865,20.9499491229302,20.3602078939582,0
"YHR216W;YAR073W;YAR075W","IMD2","IMD2",1.44231791757772,1.52984087578451,25.6804322838599,25.3927041844828,27.117831404994,25.4514878299467,25.6804322838599,25.3927041844828,27.117831404994,25.4514878299467,4,25.1828710756628,24.0954697831387,24.3908034434048,24.2040397307661,25.1828710756628,24.0954697831387,24.3908034434048,24.2040397307661,4
"YOR198C","BFR1","BFR1",1.88464709711011,1.40496131439264,24.8842282895631,24.0222526594334,24.4751263165625,23.5324329788908,24.8842282895631,24.0222526594334,24.4751263165625,23.5324329788908,4,23.2819243687842,22.8412456825785,22.6024995239075,NA,23.2819243687842,22.8412456825785,22.6024995239075,20.6497822807392,3
"YIL052C","RPL34B","RPL34B",-5.7647090138847,6.73639828352508,NA,NA,NA,NA,22.1269863664972,21.8762227975351,21.6636435387622,22.3622696740534,0,27.4037313728745,28.1559561972541,27.7897982835354,27.7384725787227,27.4037313728745,28.1559561972541,27.7897982835354,27.7384725787227,4
"YIL069C;YER074W","RPS24B","RPS24B",-3.3312420936097,6.24210590659969,26.5700479264259,26.7825679640406,26.461498806792,26.941453158256,26.5700479264259,26.7825679640406,26.461498806792,26.941453158256,4,29.7478162624275,30.2485288566891,29.975826063365,30.1083650474718,29.7478162624275,30.2485288566891,29.975826063365,30.1083650474718,4
"YDL061C","RPS29B","RPS29B",-4.05018360459745,5.72919614681353,NA,NA,NA,NA,22.1135086107974,21.7341081548014,21.6889470242145,22.3203410652791,0,25.5733457810163,26.1073725806902,26.3532294926128,26.0236914191629,25.5733457810163,26.1073725806902,26.3532294926128,26.0236914191629,4
"YDR064W","RPS13","RPS13",-2.35740528256391,5.70531323083515,27.24427004212,27.2020040698809,27.0666108555578,26.9054094088573,27.24427004212,27.2020040698809,27.0666108555578,26.9054094088573,4,29.1963864560303,29.6040469505795,29.4505953808421,29.5968867192196,29.1963864560303,29.6040469505795,29.4505953808421,29.5968867192196,4
"YLR185W","RPL37A","RPL37A",-4.20362437779138,5.57548987882643,NA,NA,NA,NA,21.9959546321116,21.7682711899605,21.4746969478384,22.3307579811071,0,25.6285917164637,26.3647617276924,26.230245211691,26.160579606336,25.6285917164637,26.3647617276924,26.230245211691,26.160579606336,4
"YPL249C-A","RPL36B","RPL36B",-4.75439097707079,5.4483448035546,23.9529594580979,23.7362417095941,23.3161710269749,22.9892441096321,23.9529594580979,23.7362417095941,23.3161710269749,22.9892441096321,4,27.7943918691479,28.5858823719107,28.4920542637869,28.1398517077367,27.7943918691479,28.5858823719107,28.4920542637869,28.1398517077367,4
