"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YMR080C-TAP;YMR080C","NAM7-TAP","NAM7-TAP",10.4495259396129,4.3095126968849,30.5715422967778,30.4464798341855,30.7769802107987,29.8401413280759,30.5715422967778,30.4464798341855,30.7769802107987,29.8401413280759,4,NA,NA,NA,NA,20.6050406687218,20.4575033404,20.3193161816213,18.4551797206435,0
"YLR363C","NMD4","NMD4",5.71481754550224,4.09952179835945,25.79592807464,25.6924548121091,26.0901681599002,25.3130249994712,25.79592807464,25.6924548121091,26.0901681599002,25.3130249994712,4,NA,NA,NA,NA,20.7497919979127,20.0190596660198,20.1818851490599,19.0815690511191,0
"YLR449W","FPR4","FPR4",3.51439325646791,3.66902061593136,24.0615933529951,23.4932612907225,22.6301426758343,24.0034170290706,24.0615933529951,23.4932612907225,22.6301426758343,24.0034170290706,4,NA,NA,NA,NA,20.5044836867892,20.1351678638022,20.1916505908149,19.2995391813446,0
"YDL192W;YDL137W","ARF1","ARF1",2.49581415750995,3.43958750372221,22.8591995882478,23.2752606385032,22.1154044007739,22.3477327340573,22.8591995882478,23.2752606385032,22.1154044007739,22.3477327340573,4,NA,NA,NA,NA,20.5262548717583,20.2354913772043,20.2874777347367,19.565116747843,0
"YJL026W","RNR2","RNR2",2.59947891943087,3.30970978337526,23.1621712510156,23.3597109603025,22.9325781025574,23.1768968917198,23.1621712510156,23.3597109603025,22.9325781025574,23.1768968917198,4,NA,NA,NA,21.1876130431506,20.5771317833322,20.2099387980714,20.2587579033176,21.1876130431506,1
"YJR109C","CPA2","CPA2",2.74961778424828,3.29266053800716,22.8043185447262,23.2933369287433,22.273298194108,22.7260052311286,22.8043185447262,23.2933369287433,22.273298194108,22.7260052311286,4,NA,NA,NA,NA,20.7621440648659,19.3827913903946,20.2403556936259,19.7131966128265,0
"YHL034C","SBP1","SBP1",4.11513352880894,3.25397483616122,24.0691540620546,23.4712237062446,25.1657249629952,23.0110490863941,24.0691540620546,23.4712237062446,25.1657249629952,23.0110490863941,4,NA,NA,NA,NA,20.5939637491848,19.3377090619502,20.2715436018659,19.0534012894518,0
"YDR194C","MSS116","MSS116",2.88692594947864,3.14418030762153,22.9878919729717,22.8036289999807,23.1124325068998,22.740880107248,22.9878919729717,22.8036289999807,23.1124325068998,22.740880107248,4,NA,NA,NA,NA,20.6186901772085,19.7601647260022,20.2610832294663,19.4571916565087,0
"YHR064C","SSZ1","SSZ1",2.42083236924096,3.10515515631121,23.2647060256318,23.3475975806504,22.4013243325889,23.0391894906796,23.2647060256318,23.3475975806504,22.4013243325889,23.0391894906796,4,NA,NA,20.6923430637671,21.2523997991189,20.5959616471298,19.8287834425711,20.6923430637671,21.2523997991189,2
"YOL038W","PRE6","PRE6",1.64000088176799,3.04249901881834,22.0948740705814,21.4842407404864,22.2752890601114,21.5165791590785,22.0948740705814,21.4842407404864,22.2752890601114,21.5165791590785,4,NA,NA,NA,NA,20.6486955663594,20.0765450029323,20.266673812376,19.8190651215179,0
"YHR208W","BAT1","BAT1",1.48317366361591,3.02651475129841,21.6792567228915,21.8352239031937,21.5809081081316,21.4076391300753,21.6792567228915,21.8352239031937,21.5809081081316,21.4076391300753,4,NA,NA,NA,NA,20.5356444271873,20.0463637958045,20.2645068366032,19.7238181502334,0
"YKR001C","VPS1","VPS1",1.36656366166734,2.99605299335089,21.601547743534,21.6423144016727,21.5448173131244,21.05695517469,21.601547743534,21.6423144016727,21.5448173131244,21.05695517469,4,NA,NA,NA,NA,20.5271878071998,19.7968256654194,20.2245813758917,19.8307851378408,0
"YLR355C","ILV5","ILV5",1.10303255124397,2.86828737500328,25.1630777801912,25.5484555338441,24.9608005724588,25.1366091243986,25.1630777801912,25.5484555338441,24.9608005724588,25.1366091243986,4,23.8123520338977,23.9027902111787,24.4477098205227,24.2339607403177,23.8123520338977,23.9027902111787,24.4477098205227,24.2339607403177,4
"YOR341W","RPA190","RPA190",2.02627649418147,2.86447394508125,22.637833875872,22.7542375416237,22.880692579218,22.4832568387631,22.637833875872,22.7542375416237,22.880692579218,22.4832568387631,4,NA,NA,21.0093584579678,20.8893346202798,20.7520878115943,20.0001339689089,21.0093584579678,20.8893346202798,2
"YAL035W","FUN12","FUN12",1.84201048571066,2.77792856662181,21.9013913589971,22.0643099060416,22.3122980178277,21.885876567907,21.9013913589971,22.0643099060416,22.3122980178277,21.885876567907,4,NA,NA,NA,NA,20.8098781872455,19.7504909025651,20.2657938135746,19.9696710045455,0
"YML085C","TUB1","TUB1",3.03575646261869,2.77543669023277,23.236240226135,22.938153846774,23.2885574611166,22.5151117219612,23.236240226135,22.938153846774,23.2885574611166,22.5151117219612,4,NA,NA,NA,NA,20.4248422152918,20.3847058099402,20.2191129704552,18.8063764098249,0
"YLR058C","SHM2","SHM2",3.54781723401086,2.73099797343906,24.5733457810163,25.3093864224078,23.7776606629985,24.9499356848673,24.5733457810163,25.3093864224078,23.7776606629985,24.9499356848673,4,NA,NA,22.0930693318773,21.8298543279409,20.4923495426253,20.0037864128029,22.0930693318773,21.8298543279409,2
