"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","value_count_RNase"
"YPL143W","RPL33A","RPL33A",-3.16562637777274,1.95482089239145,NA,24.4737646995202,23.939391972954,23.7444774678859,23.844623397543,24.4737646995202,23.939391972954,23.7444774678859,3,28.051547178979,26.7244239216867,26.7226011860798,28.051547178979,26.7244239216867,26.7226011860798,3
"YOR096W","RPS7A","RPS7A",-1.22534749913519,1.94348790443099,28.1743615929214,28.2457665903516,28.2683428899074,28.242817359766,28.1743615929214,28.2457665903516,28.2683428899074,28.242817359766,4,29.6822588091369,29.2024712184913,29.4897787944872,29.6822588091369,29.2024712184913,29.4897787944872,3
"YDR064W","RPS13","RPS13",-2.70988342755857,1.86013138369189,NA,26.0926903723079,25.7936727595312,25.5127691512491,23.7330459159813,26.0926903723079,25.7936727595312,25.5127691512491,3,28.1091376016445,27.8931918976111,27.9764544327222,28.1091376016445,27.8931918976111,27.9764544327222,3
"YNL178W","RPS3","RPS3",-1.16968123918912,1.83010018060324,27.2787026830803,27.5626000746809,27.4692529064717,27.2916694281302,27.2787026830803,27.5626000746809,27.4692529064717,27.2916694281302,4,28.8845718362143,28.2430898491503,28.5830508514751,28.8845718362143,28.2430898491503,28.5830508514751,3
"YLR185W","RPL37A","RPL37A",-2.38464309652831,1.7623723218857,NA,NA,NA,NA,23.8373462967475,21.7092124348997,21.7211157142263,21.4007365313725,0,25.2663513455543,24.1565349343244,24.2323512426406,25.2663513455543,24.1565349343244,24.2323512426406,3
"YER102W;YBL072C","RPS8B","RPS8B",-1.75465065028091,1.71939692444113,NA,25.6804859395814,24.559933906876,24.4434160821126,23.8294174795095,25.6804859395814,24.559933906876,24.4434160821126,3,26.3349896891716,26.3388533313485,26.4750489863823,26.3349896891716,26.3388533313485,26.4750489863823,3
"YKR057W;YJL136C","RPS21A","RPS21A",-2.37719025721972,1.69455473550993,NA,21.7651468632302,NA,NA,23.8081435303531,21.7651468632302,21.5611439931696,21.5111120396823,1,24.5111107942611,24.3327894314844,24.77183036574,24.5111107942611,24.3327894314844,24.77183036574,3
"YDL014W","NOP1","NOP1",-2.22876928164587,1.68592622997422,NA,23.5814139216302,22.5920408826053,NA,23.7155701825586,23.5814139216302,22.5920408826053,21.3144324350765,2,24.950870173753,25.5144256041684,24.6236051334192,24.950870173753,25.5144256041684,24.6236051334192,3
"YHL033C","RPL8A","RPL8A",-1.85697045676636,1.59519809918801,NA,22.8736138292402,NA,NA,23.7657227825105,22.8736138292402,21.6707317578465,21.793150235206,1,24.9095811042609,24.0726743297543,24.1660698898864,24.9095811042609,24.0726743297543,24.1660698898864,3
"YOR230W","WTM1","WTM1",-2.36680120175854,1.58586083018552,NA,NA,NA,NA,23.8282926979479,21.2651092602033,21.8543009307725,21.6216518698407,0,24.5177928762464,24.4906932378419,24.5189335602606,24.5177928762464,24.4906932378419,24.5189335602606,3
"YHR010W;YDR471W","RPL27A","RPL27A",-2.51267607973984,1.56561533522182,23.8417255731596,26.4879060123325,26.4660971288332,26.2922664393044,23.8417255731596,26.4879060123325,26.4660971288332,26.2922664393044,4,28.5664522060996,28.1494778131407,28.1380945852016,28.5664522060996,28.1494778131407,28.1380945852016,3
"YOR293W;YMR230W","RPS10A","RPS10A",-2.33412179575363,1.40520091314055,NA,24.3550122797028,24.3466511521186,NA,23.8366253453158,24.3550122797028,24.3466511521186,21.467247134737,2,25.7594891886066,25.5986943075905,26.1483338249695,25.7594891886066,25.5986943075905,26.1483338249695,3
"YOL039W","RPP2A","RPP2A",-1.93023437876118,1.36775763825828,NA,NA,NA,NA,23.7950999567005,21.361511441689,21.6766904014638,21.4046549175911,0,24.0671855199912,23.7708227563675,24.1311623980082,24.0671855199912,23.7708227563675,24.1311623980082,3
