nodes,size,Functionality
Dcp1,1,None
Vph1,1,None
Ski6,1,None
Rrp46,1,None
Lrp1,1,None
Mpp6,1,None
Mtr3,1,None
Csl4,1,None
Rrp45,1,None
Rrp4,1,None
Rrp42,1,None
Rrp43,1,None
Rpp1b,1,None
Tma19,1,None
Rrp6,1,None
Cpr6,1,None
Ski3,1,None
Vtc1,1,None
Ski7,1,None
Dip2,1,None
Rps29a,1,None
Ski8,1,None
Rpl24b,1,None
Rps27a,1,None
Rps12,1,None
Pfk2,1,None
Rps26a,1,None
Vip1,1,None
Ufd4,1,None
Tor1,1,None
Mon2,1,None
Vma13,1,None
Mrpl22,1,None
Hmo1,1,None
Kog1,1,None
Mrpl17,1,None
Rsc9,1,None
Gin4,1,None
Fun30,1,None
Fpr1,1,None
Ssd1,1,None
Mrpl7,1,None
Ccr4,1,None
Rrg8,1,None
Mdn1,1,None
Pbp4,1,None
Sac6,1,None
Mdj1,1,None
Ils1,1,None
Mrpl15,1,None
Gsp1,1,None
Atp2,1,None
Tif11,1,None
Gyp5,1,None
Npa3,1,None
Cof1,1,None
Rvs161,1,None
Pro3,1,None
Ade2,1,None
Kes1,1,None
Hsp82,1,None
Trx1,1,None
Yop1,1,None
Atp1,1,None
YNR021W,1,None
Utp22,1,None
Rpt6,1,None
Utp21,1,None
Utp5,1,None
Sis1,1,None
Ura5,1,None
Abf2,1,None
Trr1,1,None
Gln1,1,None
Cpr1,1,None
Tub2,1,None
His4,1,None
Gua1,1,None
Thr4,1,None
Erg20,1,None
Hri1,1,None
Ths1,1,None
Ala1,1,None
Egd1,1,None
Top2,1,None
Gdh1,1,None
Eno1,1,None
Tpi1,1,None
Crm1,1,None
Hyp2,1,None
Pet9,1,None
Aro8,1,None
Mae1,1,None
Rps28a,1,None
Sui3,1,None
Cys4,1,None
Sec53,1,None
Cys3,1,None
Fba1,1,None
Pgi1,1,None
Cdc60,1,None
Ade1,1,None
Tal1,1,None
Tdh3,1,None
Ipp1,1,None
Hom6,1,None
Ade13,1,None
Shm2,1,None
Tif1,1,None
Rps29b,1,None
Ahp1,1,None
Tkl1,1,None
Fas1,1,None
Nvj2,1,None
Hsp104,1,None
Rpl9b,1,None
Sui2,1,None
Arf1,1,None
Ald6,1,None
Hsc82,1,None
Grs1,1,None
Ssz1,1,None
Rpa190,1,None
Sam1,1,None
Apa1,1,None
Imd3,1,None
Spe3,1,None
Erg13,1,None
Eno2,1,None
Gus1,1,None
Gpm1,1,None
Hxk2,1,None
Oye2,1,None
Pgk1,1,None
Tdh2,1,None
Guk1,1,None
Adh1,1,None
Vas1,1,None
Gpp1,1,None
Adk1,1,None
Cdc19,1,None
Sah1,1,None
Hsp60,1,None
Eft1,1,None
Wtm1,1,None
Ded81,1,None
Stm1,1,None
Mmf1,1,None
Pfk1,1,None
Adh3,1,None
Ilv5,1,None
Fas2,1,None
Dps1,1,None
YHR020W,1,None
YNL010W,1,None
Cdc33,1,None
Rrp5,1,None
Tef4,1,None
Htb1,1,None
Nop56,1,None
Yef3,1,None
Hta1,1,None
Cbf5,1,None
Fun12,1,None
Gcd11,1,None
Ded1,1,None
Kap123,1,None
Nug1,1,None
Tef1,1,None
Vps1,1,None
Mak5,1,None
Aco1,1,None
Nop1,1,None
Spt16,1,None
Nop58,1,None
Dbp5,1,None
Rpa49,1,None
Sar1,1,None
Acc1,1,None
Rfc4,1,None
Ykt6,1,None
Rpl10,1,None
Lsm12,1,None
Sse1,1,None
Ilv2,1,None
New1,1,None
Bmh2,1,None
Hht2,1,None
Abp1,1,None
Dbp3,1,None
Cdc3,1,None
Noc2,1,None
Tif5,1,None
Gcd2,1,None
Ola1,1,None
Chc1,1,None
Fpr4,1,None
Sbp1,1,None
Pre6,1,None
Bat1,1,None
Ura7,1,None
Trp5,1,None
Ade5,7,1,None
Zuo1,1,None
Has1,1,None
Asn1,1,None
Tif34,1,None
Gpd2,1,None
Faa4,1,None
Mrp8,1,None
Nsr1,1,None
Ilv3,1,None
Gnd1,1,None
Rtn1,1,None
Rna1,1,None
Arx1,1,None
Arb1,1,None
Rpl23b,1,None
Pta1,1,None
Ysh1,1,None
Ref2,1,None
Fip1,1,None
Cft2,1,None
Pap1,1,None
Yth1,1,None
Pfs2,1,None
Pti1,1,None
Ssu72,1,None
Pcf11,1,None
Clp1,1,None
Rna15,1,None
Vma5,1,None
Efb1,1,None
Gcn20,1,None
Pre9,1,None
Gar1,1,None
Mbf1,1,None
Rpn1,1,None
Gcd6,1,None
Rvb1,1,None
Rpl13b,1,None
Nip1,1,None
Prt1,1,None
Cha1,1,None
Rad52,1,None
Arl1,1,None
Rpl38,1,None
Rps19a,1,None
Rpl32,1,None
Erg11,1,None
Rps17a,1,None
Rpl7a,1,None
Dys1,1,None
Rps21a,1,None
Rpl6b,1,None
Rps20,1,None
Npl3,1,None
Rps4a,1,None
Rvb2,1,None
Rpl1a,1,None
Rpl35a,1,None
Rpl11a,1,None
Rpl3,1,None
Rpl20b,1,None
Rps1a,1,None
Rli1,1,None
Rps15,1,None
Sec4,1,None
Rpl8b,1,None
Sec21,1,None
Rpl27a,1,None
Asc1,1,None
Nst1,1,None
Def1,1,None
Rpl8a,1,None
Ret3,1,None
Rpl37b,1,None
Ade6,1,None
Scp160,1,None
Yra1,1,None
Ssc1,1,None
Rps1b,1,None
Rpl28,1,None
Rpl25,1,None
Rps8b,1,None
Mrh1,1,None
Act1,1,None
Ses1,1,None
Bmh1,1,None
Leu1,1,None
Ams1,1,None
Gcd7,1,None
Ape4,1,None
Erg10,1,None
Rps25b,1,None
Rps3,1,None
Mrt4,1,None
Rpl6a,1,None
Rps16a,1,None
Rps14a,1,None
Rps18b,1,None
Rpl19a,1,None
Rpl24a,1,None
Rpl34a,1,None
Nog1,1,None
Rps7a,1,None
Rpl33b,1,None
Rpl16a,1,None
Rpl22a,1,None
Rpl4b,1,None
Rps24b,1,None
Rpl17a,1,None
Rpp0,1,None
Rpl2b,1,None
Rpl12a,1,None
Rpl21a,1,None
Rps10a,1,None
Rps22b,1,None
Rps11a,1,None
Rpl16b,1,None
Tsr1,1,None
Rpl31a,1,None
Rps7b,1,None
Rps0a,1,None
Vma1,1,None
Rpl26b,1,None
Rio2,1,None
Rps23b,1,None
Rps6a,1,None
Rps9a,1,None
Rpl14a,1,None
YBL028C,1,None
Msl5,1,None
Frm2,1,None
