nodes,size,ID
Ils1,1,BioGRID & RBP census
Mrpl15,1,BioGRID
Gsp1,1,BioGRID & RBP census
Atp2,1,BioGRID & RBP census
Tif11,1,BioGRID & RBP census
Xrn1,1,BioGRID & RBP census
Gyp5,1,BioGRID
Npa3,1,None
Cof1,1,BioGRID & RBP census
Rvs161,1,BioGRID & RBP census
Pro3,1,BioGRID & RBP census
Dcp2,1,BioGRID & RBP census
Ade2,1,BioGRID & RBP census
Kes1,1,BioGRID & RBP census
Hsp82,1,BioGRID & RBP census
Trx1,1,BioGRID & RBP census
Ski3,1,BioGRID & RBP census
Ecm29,1,BioGRID
Yop1,1,BioGRID
Atp1,1,BioGRID & RBP census
YLR419W,1,None
YNR021W,1,None
