source,target,Functionality
Tif4631,Tif1,Multiple
Tif4631,Ded1,Multiple
Tif4631,Kap123,Multiple
Tif4631,Dhh1,Multiple
Tif4631,Nug1,Multiple
Tif4631,Tef1,Multiple
Tif4631,Lys20,Multiple
Tif4631,Atp1,Multiple
Tif4631,Vps1,Multiple
Tif4631,Mak5,Multiple
Tif4631,Aco1,Multiple
Tif4631,Nop1,Multiple
Tif4631,Spt16,Multiple
Tif4631,Crm1,Multiple
Tif4631,Rnr2,Multiple
Tif4631,Vma13,Multiple
Tif4631,Nop58,Multiple
Tif4631,Nhp2,Multiple
Tif4631,Mak21,Multiple
Tif4631,Gcn1,Multiple
Tif4631,Dbp5,Multiple
Tif4631,Rpa49,Multiple
Tif4631,Top2,Multiple
Tif4631,Sar1,Multiple
Tif4631,Acc1,Multiple
Tif4631,Net1,Multiple
Tif4631,Hsp104,Multiple
Tif4631,Acs2,Multiple
Tif4631,Fas1,Multiple
Tif4631,Hsc82,Multiple
Tif4631,Mss116,Multiple
Tif4631,Rfc4,Multiple
Tif4631,Cop1,Multiple
Tif4631,Ykt6,Multiple
Tif4631,Rpl10,Multiple
Tif4631,Aha1,Multiple
Tif4631,Lsm12,Multiple
Tif4631,Adh3,Multiple
Tif4631,Nop7,Multiple
Tif4631,Sro9,Multiple
Tif4631,Sui2,Multiple
Tif4631,Rpo21,Multiple
Tif4631,Rnr4,Multiple
Tif4631,Sse1,Multiple
Tif4631,Kre33,Multiple
Tif4631,Ubp3,Multiple
Tif4631,Ilv2,Multiple
Tif4631,New1,Multiple
Tif4631,Atp2,Multiple
Tif4631,Brx1,Multiple
Tif4631,Vip1,Multiple
Tif4631,Bmh2,Multiple
Tif4631,Hht2,Multiple
Tif4631,Abp1,Multiple
Tif4631,Dbp3,Multiple
Tif4631,Sec26,Multiple
Tif4631,Cdc3,Multiple
Tif4631,Bms1,Multiple
Tif4631,Nop4,Multiple
Tif4631,Noc2,Multiple
Tif4631,Sub2,Multiple
Tif4631,Tif5,Multiple
Tif4631,Nop2,Multiple
Tif4631,Pfk1,Multiple
Tif4631,Idh2,Multiple
Tif4631,Gcd2,Multiple
Tif4631,Ola1,Multiple
Tif4631,Sup45,Multiple
Tif4631,Nam7,Multiple
Tif4631,Chc1,Multiple
Nam7,Nmd4,Multiple
Nam7,Fpr4,Multiple
Nam7,Arf1,Multiple
Nam7,Rnr2,Multiple
Nam7,Cpa2,Multiple
Nam7,Sbp1,Multiple
Nam7,Mss116,Multiple
Nam7,Ssz1,Multiple
Nam7,Pre6,Multiple
Nam7,Bat1,Multiple
Nam7,Vps1,Multiple
Nam7,Ilv5,Multiple
Nam7,Rpa190,Multiple
Nam7,Fun12,Multiple
Nam7,Tub1,Multiple
Nam7,Shm2,Multiple
Nam7,Cys4,Multiple
Nam7,Gpp1,Multiple
Nam7,His4,Multiple
Nam7,Rpa49,Multiple
Nam7,Trr1,Multiple
Nam7,Wtm1,Multiple
Nam7,Gcd11,Multiple
Nam7,Rps29b,Multiple
Nam7,Kre33,Multiple
Nam7,Sse1,Multiple
Nam7,Hsp60,Multiple
Nam7,Ura7,Multiple
Nam7,Eno2,Multiple
Nam7,Nhp2,Multiple
Nam7,Trp5,Multiple
Nam7,Tdh2,Multiple
Nam7,Tif1,Multiple
Nam7,Grs1,Multiple
Nam7,Ilv1,Multiple
Nam7,Ade5,7,Multiple
Nam7,Zuo1,Multiple
Nam7,Cop1,Multiple
Nam7,Cdc60,Multiple
Nam7,Hxk2,Multiple
Nam7,Adh3,Multiple
Nam7,Ade13,Multiple
Nam7,Has1,Multiple
Nam7,Tdh3,Multiple
Nam7,Pgk1,Multiple
Nam7,Erg13,Multiple
Nam7,Lys20,Multiple
Nam7,Gsp1,Multiple
Nam7,Asn1,Multiple
Nam7,Tif34,Multiple
Nam7,Pab1,Multiple
Nam7,Gpd2,Multiple
Nam7,Cct3,Multiple
Nam7,Faa4,Multiple
Nam7,Mrp8,Multiple
Nam7,Pfk1,Multiple
Nam7,Stm1,Multiple
Nam7,Atp2,Multiple
Nam7,Tif5,Multiple
Nam7,Nop7,Multiple
Nam7,Atp1,Multiple
Nam7,Nsr1,Multiple
Nam7,Ilv3,Multiple
Nam7,Ykt6,Multiple
Nam7,Tpi1,Multiple
Nam7,Ade17,Multiple
Nam7,Gnd1,Multiple
Nam7,Tal1,Multiple
Nam7,Gua1,Multiple
Nam7,Rnr4,Multiple
Nam7,Cic1,Multiple
Nam7,Yhb1,Multiple
Nam7,Ala1,Multiple
Nam7,Rtn1,Multiple
Nam7,Aro4,Multiple
Nam7,Erg1,Multiple
Nam7,Imd3,Multiple
Nam7,Gus1,Multiple
Nam7,Pgi1,Multiple
