"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005685","U1 snRNP","14/20","14/745",2.35491756088078e-25,1.08326207800516e-23,8.67601206640286e-24,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0030532","small nuclear ribonucleoprotein complex","14/20","15/745",3.50531572913043e-24,2.68740872566667e-23,2.15238685122044e-23,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0071004","U2-type prespliceosome","14/20","15/745",3.50531572913043e-24,2.68740872566667e-23,2.15238685122044e-23,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0071010","prespliceosome","14/20","15/745",3.50531572913043e-24,2.68740872566667e-23,2.15238685122044e-23,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0097525","spliceosomal snRNP complex","14/20","15/745",3.50531572913043e-24,2.68740872566667e-23,2.15238685122044e-23,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0120114","Sm-like protein family complex","14/20","15/745",3.50531572913043e-24,2.68740872566667e-23,2.15238685122044e-23,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0005684","U2-type spliceosomal complex","14/20","16/745",2.78274310354593e-23,1.82865975375875e-22,1.46460163344523e-22,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:0005681","spliceosomal complex","14/20","19/745",2.63475127109345e-21,1.51498198087874e-20,1.2133722958983e-20,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39",14
"GO:1990904","ribonucleoprotein complex","16/20","210/745",1.58977912701069e-06,8.12553776027688e-06,6.50786777138881e-06,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39/RSM26/RPS26B",16
"GO:0005634","nucleus","18/20","319/745",1.24013685933681e-05,5.70462955294932e-05,4.56892527124088e-05,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39/CAD1/RPC82/HRP1/TRM1",18
"GO:0032991","protein-containing complex","18/20","423/745",0.00136111897552407,0.00569195207946429,0.00455877168835813,"SNU56/SNU71/LUC7/SNP1/YHC1/MUD1/PRP40/SMD3/SMB1/SMD1/NAM8/SMD2/PRP42/PRP39/RSM26/RPC82/HRP1/RPS26B",18
