"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-SCE-1430728","Metabolism","29/42","93/326",4.95838583211581e-09,1.98335433284632e-07,1.72238665747181e-07,"851152/856182/854913/852296/852177/851068/853169/856579/853106/852639/855245/851620/850370/853465/852065/855149/852495/851812/851193/856766/851221/854760/853155/851335/851418/856147/855224/851073/853585",29
"R-SCE-70171","Glycolysis","11/42","14/326",1.25593965287488e-08,2.51187930574975e-07,2.18136887078268e-07,"853169/856579/853106/852639/855245/851620/850370/853465/852495/851193/853155",11
"R-SCE-70326","Glucose metabolism","11/42","17/326",3.20719027114461e-07,4.27625369485949e-06,3.71358873500955e-06,"853169/856579/853106/852639/855245/851620/850370/853465/852495/851193/853155",11
"R-SCE-71387","Metabolism of carbohydrates","12/42","24/326",3.96910006929942e-06,3.96910006929942e-05,3.44685006018108e-05,"851068/853169/856579/853106/852639/855245/851620/850370/853465/852495/851193/853155",12
"R-SCE-70263","Gluconeogenesis","7/42","11/326",8.16545352348164e-05,0.000653236281878532,0.000567284139526093,"853169/856579/853106/851620/850370/853465/852495",7
"R-SCE-1852241","Organelle biogenesis and maintenance","6/42","11/326",0.000916641610231023,0.00611094406820682,0.00530687248028487,"852177/851335/851418/853585/854889/854915",6
