"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sce00630","Glyoxylate and dicarboxylate metabolism","2/6","22/1456",0.00315297735467167,0.0187665377284037,0.011852550144255,"855606/854849",2
"sce04120","Ubiquitin mediated proteolysis","2/6","24/1456",0.00375330754568074,0.0187665377284037,0.011852550144255,"852194/852736",2
"sce00620","Pyruvate metabolism","2/6","42/1456",0.0113248716055856,0.0377495720186187,0.0238418349591276,"855606/854849",2
