"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016591","RNA polymerase II, holoenzyme","15/34","17/653",2.19106112328303e-19,1.46801095259963e-17,1.01480725709951e-17,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0005665","RNA polymerase II, core complex","12/34","12/653",4.83720847412074e-17,1.62046483883045e-15,1.12019564663849e-15,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0000428","DNA-directed RNA polymerase complex","15/34","25/653",4.19145708490237e-15,5.61655249376918e-14,3.88261287864641e-14,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0030880","RNA polymerase complex","15/34","25/653",4.19145708490237e-15,5.61655249376918e-14,3.88261287864641e-14,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0055029","nuclear DNA-directed RNA polymerase complex","15/34","25/653",4.19145708490237e-15,5.61655249376918e-14,3.88261287864641e-14,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0005654","nucleoplasm","17/34","37/653",1.35891332719261e-14,1.51745321536508e-13,1.04898572625394e-13,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/SPT5/TAF14/ERB1/RPB9",17
"GO:0061695","transferase complex, transferring phosphorus-containing groups","15/34","29/653",8.86402741235157e-14,8.48414052325079e-13,5.86492039313487e-13,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0031981","nuclear lumen","25/34","113/653",1.14921280000101e-13,9.62465720000846e-13,6.65333726316374e-13,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RLP7/NET1/MKT1/RPB9",25
"GO:1990234","transferase complex","15/34","40/653",3.3388642149922e-11,2.48559891560531e-10,1.71824591180885e-10,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/TAF14/RPB9",15
"GO:0031974","membrane-enclosed lumen","25/34","156/653",4.12052009495356e-10,2.3006237196824e-09,1.59037617699962e-09,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/KRE33/SPT5/TAF14/ERB1/HHF2/HHF1/DBP9/RLP7/NET1/MKT1/RPB9",25
