"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003678","DNA helicase activity","6/18","11/1046",4.55076431917871e-09,3.00350445065795e-07,2.0598196392072e-07,"YRF1-7/YRF1-3/YRF1-6/YRF1-5/YRF1-8/YRF1-1",6
"GO:0140097","catalytic activity, acting on DNA","6/18","20/1046",3.48942815640875e-07,1.0640203020701e-05,7.29710892966739e-06,"YRF1-7/YRF1-3/YRF1-6/YRF1-5/YRF1-8/YRF1-1",6
"GO:0008094","DNA-dependent ATPase activity","6/18","21/1046",4.83645591850048e-07,1.0640203020701e-05,7.29710892966739e-06,"YRF1-7/YRF1-3/YRF1-6/YRF1-5/YRF1-8/YRF1-1",6
"GO:0004386","helicase activity","6/18","31/1046",5.93413101498819e-06,9.79131617473051e-05,6.71493772748663e-05,"YRF1-7/YRF1-3/YRF1-6/YRF1-5/YRF1-8/YRF1-1",6
"GO:0016887","ATPase activity","6/18","91/1046",0.00289854909981926,0.0382608481176143,0.0262394971141533,"YRF1-7/YRF1-3/YRF1-6/YRF1-5/YRF1-8/YRF1-1",6
