"Protein.IDs","my_label","Gene.names","difference_YKAF012_YKAF000","log10.pvalue_YKAF012_YKAF000","log2.LFQ.intensity.YKAF012_01","log2.LFQ.intensity.YKAF012_02","log2.LFQ.intensity.YKAF012_03","log2.LFQ.intensity.YKAF012_04","imputed.log2.LFQ.intensity.YKAF012_01","imputed.log2.LFQ.intensity.YKAF012_02","imputed.log2.LFQ.intensity.YKAF012_03","imputed.log2.LFQ.intensity.YKAF012_04","value_count_YKAF012","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YKL059C","MPE1","MPE1",1.25255541290596,2.93966096112087,25.1227363829878,25.1678698361513,25.5932041716601,25.2362621267952,25.1227363829878,25.1678698361513,25.5932041716601,25.2362621267952,4,NA,NA,NA,NA,24.2499244228165,23.8285753541815,23.6797989553735,24.3515521335991,0
"YBR296C","PHO89","PHO89",1.21725594280687,2.21026130987508,25.3324138585741,25.8915473253822,25.5611291924602,25.219890214591,25.3324138585741,25.8915473253822,25.5611291924602,25.219890214591,4,NA,24.4864643447432,24.6487788683438,NA,23.618159813194,24.4864643447432,24.6487788683438,24.382553793499,2
"YML128C","MSC1","MSC1",-1.02324570701976,5.49788544498394,28.5762180232437,28.5305515403603,28.5440316547297,28.7280949447472,28.5762180232437,28.5305515403603,28.5440316547297,28.7280949447472,4,29.7156635300177,29.6453846495587,29.5697510390896,29.5410797724939,29.7156635300177,29.6453846495587,29.5697510390896,29.5410797724939,4
"YIL136W","OM45","OM45",-1.48178166082059,4.96055725801562,27.9250165016557,27.8134166948296,28.0200918259408,27.6475991760232,27.9250165016557,27.8134166948296,28.0200918259408,27.6475991760232,4,29.4455329767631,29.4844873793877,29.2103896885349,29.192840797046,29.4455329767631,29.4844873793877,29.2103896885349,29.192840797046,4
"YNL117W","MLS1","MLS1",-1.55366349396521,4.38567663354376,NA,NA,NA,NA,23.9168371442752,23.5349449989722,24.0205875287477,23.9088349427655,0,25.3443839603459,25.2587169776229,25.3013142122329,25.6914434404196,25.3443839603459,25.2587169776229,25.3013142122329,25.6914434404196,4
"YIL151C","ESL1","ESL1",-2.25265032495153,3.7164737406642,NA,NA,NA,NA,24.1198137704838,23.4226276333202,23.5171119714392,23.1394896401304,0,25.8588013444499,25.4817920424062,25.5796312900676,26.2894196382561,25.8588013444499,25.4817920424062,25.5796312900676,26.2894196382561,4
"YCL011C","GBP2","GBP2",-4.36351645742045,3.66621420509875,NA,NA,NA,NA,24.2888703897477,24.2256774782675,24.096743163459,22.9691156023364,0,28.6303426782279,28.0974302742711,28.1990575502054,28.1076419607881,28.6303426782279,28.0974302742711,28.1990575502054,28.1076419607881,4
"YNL001W","DOM34","DOM34",-1.11516884472698,2.64940049555176,27.0779590449944,27.5603421645258,26.7570998205138,27.2438162359947,27.0779590449944,27.5603421645258,26.7570998205138,27.2438162359947,4,28.5796384825229,28.249795013401,28.2833912138749,27.9870679351379,28.5796384825229,28.249795013401,28.2833912138749,27.9870679351379,4
"YPL134C","ODC1","ODC1",-1.28887501089395,2.64051383918313,23.5864623267975,24.0094097182511,NA,23.5868058937864,23.5864623267975,24.0094097182511,23.3339819564563,23.5868058937864,3,25.3668304428934,24.516831600208,25.1060548867846,24.682443008981,25.3668304428934,24.516831600208,25.1060548867846,24.682443008981,4
"YDL121C","YDL121C","YDL121C",-1.13009883170326,2.55882106596805,26.3771628606654,26.8690306700406,26.1928737107593,26.0908344524849,26.3771628606654,26.8690306700406,26.1928737107593,26.0908344524849,4,27.8589317339878,27.6562870455266,27.342825315545,27.1922529257038,27.8589317339878,27.6562870455266,27.342825315545,27.1922529257038,4
