"Protein.IDs","my_label","Gene.names","difference_YKAF003_YKAF000","log10.pvalue_YKAF003_YKAF000","log2.LFQ.intensity.YKAF003_01","log2.LFQ.intensity.YKAF003_02","log2.LFQ.intensity.YKAF003_03","log2.LFQ.intensity.YKAF003_04","imputed.log2.LFQ.intensity.YKAF003_01","imputed.log2.LFQ.intensity.YKAF003_02","imputed.log2.LFQ.intensity.YKAF003_03","imputed.log2.LFQ.intensity.YKAF003_04","value_count_YKAF003","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YOR020C","HSP10","HSP10",1.26403338443687,5.6641870495583,33.033363728009,33.0821568040333,33.0909038402691,32.9083653667245,33.033363728009,33.0821568040333,33.0909038402691,32.9083653667245,4,31.8961982360448,31.6565086877865,31.7125183680738,31.7934309093833,31.8961982360448,31.6565086877865,31.7125183680738,31.7934309093833,4
"YLR069C","MEF1","MEF1",1.25355554131723,5.0070170989175,31.6785866540856,31.5742069713317,31.5054997239557,31.5003797440678,31.6785866540856,31.5742069713317,31.5054997239557,31.5003797440678,4,30.4872121979223,30.2331790779268,30.3114883869707,30.2125712653521,30.4872121979223,30.2331790779268,30.3114883869707,30.2125712653521,4
"YOR187W","TUF1","TUF1",1.07961045379314,4.85224491136562,33.4611211324383,33.3210654730406,33.3105407150663,33.3910001879615,33.4611211324383,33.3210654730406,33.3105407150663,33.3910001879615,4,32.2735320855038,32.1447943251307,32.4038532444199,32.3431060382797,32.2735320855038,32.1447943251307,32.4038532444199,32.3431060382797,4
"YNL185C","MRPL19","MRPL19",1.50760697979175,4.69763146426558,28.9842996273079,28.7918175381292,29.1275804655239,28.9106221460097,28.9842996273079,28.7918175381292,29.1275804655239,28.9106221460097,4,27.3676137780781,27.5061242549841,27.667699864232,27.2424539605095,27.3676137780781,27.5061242549841,27.667699864232,27.2424539605095,4
"YGL018C","JAC1","JAC1",1.82047763008787,4.20273432172987,27.1262269429081,27.4641193086084,27.2676733947723,27.4599054624599,27.1262269429081,27.4641193086084,27.2676733947723,27.4599054624599,4,NA,NA,NA,NA,25.1810688997247,25.7944940050409,25.5879448336607,25.4725068499709,0
"YKL167C","MRP49","MRP49",1.20143446720818,4.07925338915202,28.2310971509926,28.4916338591202,28.5866341205192,28.3169133183487,28.2310971509926,28.4916338591202,28.5866341205192,28.3169133183487,4,27.4451382693543,27.2682982665629,27.0349612971967,27.0721427470341,27.4451382693543,27.2682982665629,27.0349612971967,27.0721427470341,4
"YJR101W","RSM26","RSM26",1.12540224459711,3.80780960690361,29.2495237876366,29.4548560735905,29.1883433721288,29.5744506111344,29.2495237876366,29.4548560735905,29.1883433721288,29.5744506111344,4,27.9814715590699,28.4125202947621,28.1990107314986,28.3725622807713,27.9814715590699,28.4125202947621,28.1990107314986,28.3725622807713,4
"YKL155C","RSM22","RSM22",2.20631805462666,2.8813352626914,27.485159467652,27.3418079001002,27.5446581523625,27.6939838303358,27.485159467652,27.3418079001002,27.5446581523625,27.6939838303358,4,NA,NA,NA,NA,24.6671401510152,25.3109955785409,25.7336319352066,25.5285694671812,0
"YGR165W","MRPS35","MRPS35",1.03427665778339,2.84995827156574,30.1207754039212,30.1410219349531,29.9765090606039,30.0410074885123,30.1207754039212,30.1410219349531,29.9765090606039,30.0410074885123,4,28.7175767562904,29.0633740960379,29.1145835702069,29.2466728343218,28.7175767562904,29.0633740960379,29.1145835702069,29.2466728343218,4
"YDR375C","BCS1","BCS1",1.12477466538936,2.78981926410617,27.4453751067579,28.0705570585528,28.0496790749315,28.0773479061653,27.4453751067579,28.0705570585528,28.0496790749315,28.0773479061653,4,27.0887133616237,26.5618721025992,26.5657697477985,26.9275052728288,27.0887133616237,26.5618721025992,26.5657697477985,26.9275052728288,4
