"Protein.IDs","my_label","Gene.names","difference_YKAF041_YKAF000","log10.pvalue_YKAF041_YKAF000","log2.LFQ.intensity.YKAF041_01","log2.LFQ.intensity.YKAF041_02","log2.LFQ.intensity.YKAF041_03","log2.LFQ.intensity.YKAF041_04","imputed.log2.LFQ.intensity.YKAF041_01","imputed.log2.LFQ.intensity.YKAF041_02","imputed.log2.LFQ.intensity.YKAF041_03","imputed.log2.LFQ.intensity.YKAF041_04","value_count_YKAF041","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YCL026C-B","HBN1","HBN1",1.90574958776331,3.20665704908967,26.9928047350719,27.2776390101093,27.3211353810869,27.1622135171529,26.9928047350719,27.2776390101093,27.3211353810869,27.1622135171529,4,NA,NA,NA,NA,25.1400781376306,25.804935316306,24.9886780062075,25.1971028322237,0
"YNL036W","NCE103","NCE103",1.20994938639191,2.02720088393356,28.6594209706295,27.7983529391015,27.6941831480787,28.5498439379867,28.6594209706295,27.7983529391015,27.6941831480787,28.5498439379867,4,27.4927419345553,26.6419617614947,26.8490003247143,26.8782994294645,27.4927419345553,26.6419617614947,26.8490003247143,26.8782994294645,4
"YGR120C","COG2","COG2",1.17242677005892,1.86191214373528,27.8907591194333,27.6809017037765,27.6111894126999,26.9805457945502,27.8907591194333,27.6809017037765,27.6111894126999,26.9805457945502,4,26.6304815524678,26.7883053254433,26.4547698065292,NA,26.6304815524678,26.7883053254433,26.4547698065292,25.6001322657838,3
"YMR289W","ABZ2","ABZ2",1.24726145389545,1.7301507009114,NA,26.6989585313899,27.191311833015,27.209646270784,25.9213877438831,26.6989585313899,27.191311833015,27.209646270784,3,NA,NA,NA,NA,25.4333210266611,25.4750086565227,25.2545730406259,25.8693558396805,0
"YNL066W","SUN4","SUN4",1.26399405912597,1.55146215500357,26.6378228228974,26.8266287820136,26.8002059534945,26.9651016960509,26.6378228228974,26.8266287820136,26.8002059534945,26.9651016960509,4,NA,NA,NA,26.4361254054802,25.1380106593488,24.9797824649694,25.619864488154,26.4361254054802,1
"YNL117W;YIR031C","MLS1","MLS1",-2.27275693925314,3.78598928398532,NA,NA,NA,NA,25.235069495876,25.1814148063499,24.9505297763991,24.8901756245348,0,27.6438892100658,27.5419290574249,27.2844506558471,26.8779485368345,27.6438892100658,27.5419290574249,27.2844506558471,26.8779485368345,4
"YBL067C","UBP13","UBP13",-1.31674625249168,3.24448946001212,NA,NA,NA,NA,25.4347625131436,25.2120473574393,24.9610883143941,24.7504850884931,0,26.4896371761172,26.4155294147736,26.6558095465135,26.0643921460325,26.4896371761172,26.4155294147736,26.6558095465135,26.0643921460325,4
"YOL069W","NUF2","NUF2",-3.50015290921362,2.97499715632581,NA,NA,NA,NA,25.7904324118904,25.3854251476252,25.5764106757145,24.3560605546893,0,28.9641102665942,28.8067649992467,28.5970821473729,28.7409830135601,28.9641102665942,28.8067649992467,28.5970821473729,28.7409830135601,4
"YKR084C","HBS1","HBS1",-4.25931411836957,2.69132947404576,NA,NA,NA,27.2911424483213,25.6121790796459,25.2114143450076,24.7626402541787,27.2911424483213,1,29.9276182968439,29.3485138416001,30.3006205763256,30.3378798858621,29.9276182968439,29.3485138416001,30.3006205763256,30.3378798858621,4
"YOR075W","UFE1","UFE1",-1.87070194645253,2.54171185809246,NA,NA,NA,NA,25.1931064125763,25.5369580203487,24.7014794350046,24.6051392282546,0,26.8935391027087,26.9667525659425,26.8069800494549,26.8522191638882,26.8935391027087,26.9667525659425,26.8069800494549,26.8522191638882,4
