nodes,size,Functionality
Sec14,1,None
Cct6,1,None
Nip1,1,None
Sah1,1,None
Pdi1,1,None
Met6,1,None
Ade2,1,None
His7,1,None
Leu1,1,None
Ade4,1,None
Idp1,1,None
Ade13,1,None
Hxk2,1,None
Ade6,1,None
Glt1,1,None
Shm2,1,None
Sec31,1,None
Gcn1,1,None
Lys2,1,None
Cys4,1,None
Rnr1,1,None
Sec18,1,None
Ugp1,1,None
Rpn1,1,None
Ald6,1,None
Cct7,1,None
Asn2,1,None
Pdc1,1,None
Tif3,1,None
Ssz1,1,None
Tif5,1,None
Ser1,1,None
Crm1,1,None
Leu9,1,None
His1,1,None
Ser33,1,None
Aat2,1,None
Kap123,1,None
Ssc1,1,None
Ilv2,1,None
Pta1,1,None
Pap1,1,None
Cct4,1,None
Swd2,1,None
Vma5,1,None
YOR192C-B,1,None
Gpm1,1,None
Gsp1,1,None
Arb1,1,None
Eno2,1,None
Dbp5,1,None
Ura2,1,None
Ede1,1,None
Fks1,1,None
Rnr2,1,None
Prt1,1,None
Tal1,1,None
Nob1,1,None
Arx1,1,None
Tsr1,1,None
Ded1,1,None
Erg11,1,None
Atp2,1,None
Ilv5,1,None
